row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.389.046.641.861,13.205.520.620.557,996.735.367.879,608.580.130.944,17.199.882.761.241,2389046641861.0,13205520620557.0,996735367879.0,608580130944.0,17199882761241.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,52.687.488.036,213.837.716.819,64.788.811.563,23.613.481.617,354.927.498.035,52687488036.0,213837716819.0,64788811563.0,23613481617.0,354927498035.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,57.209.289.558,247.146.455.765,7.412.040.000,6.354.329.482,318.122.114.805,57209289558.0,247146455765.0,7412040000.0,6354329482.0,318122114805.0
Thanh lý/xóa số,Nguyên giá > Thanh lý/xóa số,Thanh lý/xóa số,(693.491.903),(145.760.035.040),(12.381.607.937),(3.454.935.062),(162.290.069.942),-693491903.0,-145760035040.0,-12381607937.0,-3454935062.0,-162290069942.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,-,84.000.000,-,84.000.000,,,84000000.0,,84000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.498.249.927.552,13.520.744.758.101,1.056.638.611.505,635.093.006.981,17.710.726.304.139,2498249927552.0,13520744758101.0,1056638611505.0,635093006981.0,17710726304139.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.031.585.110.089,8.490.923.609.312,649.497.158.337,476.483.244.868,10.648.489.122.606,1031585110089.0,8490923609312.0,649497158337.0,476483244868.0,10648489122606.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,98.129.464.236,1.018.579.332.081,83.002.477.385,39.431.467.171,1.239.142.740.873,98129464236.0,1018579332081.0,83002477385.0,39431467171.0,1239142740873.0
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(693.491.903),(59.652.002.098),(11.927.517.028),(3.422.435.057),(75.695.446.086),-693491903.0,-59652002098.0,-11927517028.0,-3422435057.0,-75695446086.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.129.021.082.422,9.449.850.939.295,720.572.118.694,512.492.276.982,11.811.936.417.393,1129021082422.0,9449850939295.0,720572118694.0,512492276982.0,11811936417393.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.357.461.531.772,4.714.597.011.245,347.238.209.542,132.096.886.076,6.551.393.638.635,1357461531772.0,4714597011245.0,347238209542.0,132096886076.0,6551393638635.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.369.228.845.130,4.070.893.818.806,336.066.492.811,122.600.729.999,5.898.789.886.746,1369228845130.0,4070893818806.0,336066492811.0,122600729999.0,5898789886746.0
