row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,20.899.554.450.000,-,(11.644.956.120),3.270.629.902.672,5.946.825.222.798,30.105.364.619.350,20899554450000.0,,-11644956120.0,3270629902672.0,5946825222798.0,30105364619350.0
Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,-,23.225.734.296,11.644.956.120,-,-,34.870.690.416,,23225734296.0,11644956120.0,,,34870690416.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,10.426.791.805.457,10.426.791.805.457,,,,,10426791805457.0,10426791805457.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,1.042.679.180.544,(1.042.679.180.544),-,,,,1042679180544.0,-1042679180544.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,-,(1.042.679.180.544),(1.042.679.180.544),,,,,-1042679180544.0,-1042679180544.0
Cổ tức (Thuyết minh V.21),Cổ tức (Thuyết minh V.21),Cổ tức (Thuyết minh V.21),-,-,-,-,(7.523.560.503.000),(7.523.560.503.000),,,,,-7523560503000.0,-7523560503000.0
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,20.899.554.450.000,23.225.734.296,-,4.313.309.083.216,6.764.698.164.167,32.000.787.431.679,20899554450000.0,23225734296.0,,4313309083216.0,6764698164167.0,32000787431679.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,8.872.670.664.578,8.872.670.664.578,,,,,8872670664578.0,8872670664578.0
Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,Trích quỹ thuộc vốn chủ sở hữu,-,-,-,887.267.066.458,(887.267.066.458),-,,,,887267066458.0,-887267066458.0,
Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),Trích quỹ khen thưởng và phúc lợi (Thuyết minh V.18),-,-,-,-,(887.267.066.458),(887.267.066.458),,,,,-887267066458.0,-887267066458.0
Cổ tức (Thuyết minh V.21),Cổ tức (Thuyết minh V.21),Cổ tức (Thuyết minh V.21),-,-,-,-,(10.972.266.086.250),(10.972.266.086.250),,,,,-10972266086250.0,-10972266086250.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,20.899.554.450.000,23.225.734.296,-,5.200.576.149.674,2.890.568.609.579,29.013.924.943.549,20899554450000.0,23225734296.0,,5200576149674.0,2890568609579.0,29013924943549.0
