row_label_raw,row_label_full,col_0,2022Triệu VND,2021Triệu VND,numeric__2022Triệu VND,numeric__2021Triệu VND
Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,Thành viên Hội đồng quản trị,,,,
Tổng thủ lao,Tổng thủ lao,Tổng thủ lao,,,,
Ông Nguyễn Hạnh Phúc – Chủ tịch,Tổng thủ lao > Ông Nguyễn Hạnh Phúc – Chủ tịch,Ông Nguyễn Hạnh Phúc – Chủ tịch,1.720,-,1720.0,
Bà Lê Thị Băng Tâm – Chủ tịch,Tổng thủ lao > Bà Lê Thị Băng Tâm – Chủ tịch,Bà Lê Thị Băng Tâm – Chủ tịch,1.837,3.646,1837.0,3646.0
Bà Mai Kiều Liên – Thành viên (i),Tổng thủ lao > Bà Mai Kiều Liên – Thành viên (i),Bà Mai Kiều Liên – Thành viên (i),2.067,2.118,2067.0,2118.0
Ông Lee Meng Tat – Thành viên,Tổng thủ lao > Ông Lee Meng Tat – Thành viên,Ông Lee Meng Tat – Thành viên,2.398,2.458,2398.0,2458.0
Bà Đặng Thị Thu Hà – Thành viên,Tổng thủ lao > Bà Đặng Thị Thu Hà – Thành viên,Bà Đặng Thị Thu Hà – Thành viên,2.398,2.495,2398.0,2495.0
Ông Lê Thành Liêm – Thành viên (ii),Tổng thủ lao > Ông Lê Thành Liêm – Thành viên (ii),Ông Lê Thành Liêm – Thành viên (ii),931,1.064,931.0,1064.0
Ông Michael Chye Hin Fah – Thành viên,Tổng thủ lao > Ông Michael Chye Hin Fah – Thành viên,Ông Michael Chye Hin Fah – Thành viên,2.646,2.712,2646.0,2712.0
Ông Đỗ Lê Hùng – Thành viên,Tổng thủ lao > Ông Đỗ Lê Hùng – Thành viên,Ông Đỗ Lê Hùng – Thành viên,2.398,2.458,2398.0,2458.0
Ông Alain Xavier Cany – Thành viên,Tổng thủ lao > Ông Alain Xavier Cany – Thành viên,Ông Alain Xavier Cany – Thành viên,2.646,2.675,2646.0,2675.0
Bà Tiêu Yến Trinh – Thành viên,Tổng thủ lao > Bà Tiêu Yến Trinh – Thành viên,Bà Tiêu Yến Trinh – Thành viên,1.734,920,1734.0,920.0
Ông Hoàng Ngọc Thạch – Thành viên,Tổng thủ lao > Ông Hoàng Ngọc Thạch – Thành viên,Ông Hoàng Ngọc Thạch – Thành viên,2.411,1.280,2411.0,1280.0
