row_label_raw,row_label_full,Tổng Công ty Đệt mays Việt Nam,Số cuối năm > Số lượng > 50.000.000,"Số cuối năm > Tỷ lệ biểu quyết (%) > 10,00","Số cuối năm > Tỷ lệ sở hữu (%) > 10,00",Số cuối năm > Giá trị ghi số (VND) > 552.395.000.000,Số cuối năm > Giá trị hợp lý (VND) > 530.000.000.000,Số đầu năm > Số lượng > 50.000.000,"Số đầu năm > Tỷ lệ biểu quyết (%) > 10,00","Số đầu năm > Tỷ lệ sở hữu (%) > 10,00",Số đầu năm > Giá trị ghi số (VND) > 552.395.000.000,Số đầu năm > Giá trị hợp lý (VND) > 556.500.000.000,numeric__Số cuối năm > Số lượng > 50.000.000,"numeric__Số cuối năm > Tỷ lệ biểu quyết (%) > 10,00","numeric__Số cuối năm > Tỷ lệ sở hữu (%) > 10,00",numeric__Số cuối năm > Giá trị ghi số (VND) > 552.395.000.000,numeric__Số cuối năm > Giá trị hợp lý (VND) > 530.000.000.000,numeric__Số đầu năm > Số lượng > 50.000.000,"numeric__Số đầu năm > Tỷ lệ biểu quyết (%) > 10,00","numeric__Số đầu năm > Tỷ lệ sở hữu (%) > 10,00",numeric__Số đầu năm > Giá trị ghi số (VND) > 552.395.000.000,numeric__Số đầu năm > Giá trị hợp lý (VND) > 556.500.000.000
Cộng ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông,Cộng ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông,Cộng ty TNHH Đầu tư và Phát triển Đô thị Ngọc Viễn Đông,(**),"9,62","9,62",519.232.500.000,(*),(**),"9,62","9,62",519.232.500.000,(*),,9.62,9.62,519232500000.0,,,9.62,9.62,519232500000.0,
Cộng ty Cổ phần Thời trang M.Y.M,Cộng ty Cổ phần Thời trang M.Y.M,Cộng ty Cổ phần Thời trang M.Y.M,6.080.000,"19,00","19,00",60.800.000.000,(*),6.080.000,"19,00","19,00",60.800.000.000,(*),6080000.0,19.0,19.0,60800000000.0,,6080000.0,19.0,19.0,60800000000.0,
Cộng ty Cổ phần Truyền thông Thanh niên,Cộng ty Cổ phần Truyền thông Thanh niên,Cộng ty Cổ phần Truyền thông Thanh niên,400.000,"3,87","3,87",12.400.000.000,(*),400.000,"3,87","3,87",12.400.000.000,(*),400000.0,3.87,3.87,12400000000.0,,400000.0,3.87,3.87,12400000000.0,
"Cộng ty Vinhomes Quản lý (xem Thuyết minh số 16.1, mục (1,))","Cộng ty Vinhomes Quản lý (xem Thuyết minh số 16.1, mục (1,))","Cộng ty Vinhomes Quản lý (xem Thuyết minh số 16.1, mục (1,))",-,,,-,-,70.875.000,"18,6","18,6",708.750.000.000,(*),,,,,,70875000.0,18.6,18.6,708750000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,1.144.827.500.000,,,,,1.853.577.500.000,,,,,1144827500000.0,,,,,1853577500000.0,
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,,,,(63.651.656.110),,,,,-,,,,,-63651656110.0,,,,,,
