row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Số đầu năm > Tăng trong năm,Trong năm > Giảm trong năm,Trong năm > Giá trị đồng thời là số có khả năng trả nợ,Đơn vị tính: VND Số cuối năm,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm > Tăng trong năm,numeric__Trong năm > Giảm trong năm,numeric__Trong năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Đơn vị tính: VND Số cuối năm
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,22.2,1.023.075.000.000,1.198.297.500.000,(1.024.110.000.000),1.197.262.500.000,,222.0,1023075000000.0,1198297500000.0,-1024110000000.0,1197262500000.0,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,22.2,4.566.796.625.286,5.517.840.929.203,(4.613.600.000.000),5.471.037.554.489,,222.0,4566796625286.0,5517840929203.0,-4613600000000.0,5471037554489.0,
Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,Vay các bên liên quan ngắn hạn,30.4,948.836.450.000,14.559.391.070.118,(15.498.227.520.118),10.000.000.000,,304.0,948836450000.0,14559391070118.0,-15498227520118.0,10000000000.0,
Vay các bên khác ngắn hạn (*),Vay các bên khác ngắn hạn (*),Vay các bên khác ngắn hạn (*),,-,742.206.605.082,(742.206.605.082),-,,,,742206605082.0,-742206605082.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,6.538.708.075.286,22.017.736.104.403,(21.878.144.125.200),6.678.300.054.489,,,6538708075286.0,22017736104403.0,-21878144125200.0,6678300054489.0,
(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,(*) Một số cổ phần của các công ty con do Công ty nấm giữ đang được sử dụng làm tài sản đảm bảo cho các nghĩa vụ tài chính phát sinh trong tương lai của Công ty theo các hợp đồng tín dụng giữa Công ty và Ngân hàng TMCP Việt Nam Thịnh Vương.,,,,,,
22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,22.2 Vay dài hạn,,,,,,
,,,,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Đơn vị tính: VND Số cuối năm,,,,,,
,,,Thuyết minh,Giá trị đồng thời là số có khả năng trả nợ,Tăng trong năm,Giảm trong năm,Giá trị đồng thời là số có khả năng trả nợ,Đơn vị tính: VND Số cuối năm,,,,,,
Trái phiếu phát hành trong nước,22.2 Vay dài hạn > Trái phiếu phát hành trong nước,Trái phiếu phát hành trong nước,22.2.1,8.091.835.898.715,5.472.417.593.867,(5.527.380.358.013),8.036.873.134.569,,2221.0,8091835898715.0,5472417593867.0,-5527380358013.0,8036873134569.0,
Khoản vay hợp vốn,22.2 Vay dài hạn > Khoản vay hợp vốn,Khoản vay hợp vốn,22.2.2,5.622.123.890.652,68.971.031.244,(1.198.297.500.000),4.492.797.421.896,,2222.0,5622123890652.0,68971031244.0,-1198297500000.0,4492797421896.0,
TỔNG CỘNG,22.2 Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,13.713.959.789.367,5.541.388.625.111,(6.725.677.858.013),12.529.670.556.465,,,13713959789367.0,5541388625111.0,-6725677858013.0,12529670556465.0,
