row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,26.377.079.540.000,13.920.405.048.300,31.000.000.000,510.040.335.377,40.838.524.923.677,26377079540000.0,13920405048300.0,31000000000.0,510040335377.0,40838524923677.0
- Trích quỹ khác,Năm trước > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000.000.000,(5.000.000.000),-,,,5000000000.0,-5000000000.0,
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,2.360.264.592.665,2.360.264.592.665,,,,2360264592665.0,2360264592665.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,26.377.079.540.000,13.920.405.048.300,36.000.000.000,2.865.304.928.042,43.198.789.516.342,26377079540000.0,13920405048300.0,36000000000.0,2865304928042.0,43198789516342.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,26.377.079.540.000,13.920.405.048.300,36.000.000.000,2.865.304.928.042,43.198.789.516.342,26377079540000.0,13920405048300.0,36000000000.0,2865304928042.0,43198789516342.0
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000.000.000,(5.000.000.000),-,,,5000000000.0,-5000000000.0,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,3.545.273.420.462,3.545.273.420.462,,,,3545273420462.0,3545273420462.0
- Phát hành cổ phiếu ưu đãi (*),Năm nay > - Phát hành cổ phiếu ưu đãi (*),- Phát hành cổ phiếu ưu đãi (*),840.000.000.000,8.276.981.373.992,-,-,9.116.981.373.992,840000000000.0,8276981373992.0,,,9116981373992.0
- Chia cổ tức bằng cổ phiếu (**),Năm nay > - Chia cổ tức bằng cổ phiếu (**),- Chia cổ tức bằng cổ phiếu (**),5.539.132.760.000,-,-,(5.539.132.760.000),-,5539132760000.0,,,-5539132760000.0,
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,32.756.212.300.000,22.197.386.422.292,41.000.000.000,866.445.588.504,55.861.044.310.796,32756212300000.0,22197386422292.0,41000000000.0,866445588504.0,55861044310796.0
