row_label_raw,row_label_full,STT,Tên công ty,Tên viết tắt,Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tên viết tắt,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính
58,58,58,Công ty Cổ phần Pnát Triển Công nghệ VinTech,Công ty VinTech,"80,00%","80,00%",Khu Đô thị Sinh thái Vinhomes Riverside\( ^{(1)} \),Nghiên cứu và phát triển thực nghiệm khoa học tự nhiên và kỹ thuật,,,0.8,0.8,,
59,59,59,Công ty Nghiên Cửu VinTech Hàn Quốc,Công ty VinTech Hàn Quốc,"100,00%","80,00%","209 559 Dalseo-Daero, Sindang-dong, Dalseo-gu, Daegu, Korea",Nghiên cứu và phát triển thực nghiệm khoa học tự nhiên và kỹ thuật,,,1.0,0.8,,
60,60,60,Công ty Cổ phần V'nID,Công ty VinID,"80,00%","80,00%",Khu Đô thị Sinh thái Vinhomes Riverside\( ^{(1)} \),Hoạt động trung gian tiền tệ khác,,,0.8,0.8,,
61,61,61,Công ty Cổ Phần People Care,Công ty People Care,"70,00%","64,00%","Số 9, ngõ 29 Láng Hạ, phường Thành Công, quận Ba Đình, Hà Nội",Hoạt động trung gian tiền tệ khác,,,0.7,0.64,,
62,62,62,Công ty TNHH Việt Nam Grand Prix,Công ty Grand Prix,"100,00%","41,90%",Khu Đô thị Sinh thái Vinhomes Riverside\( ^{(1)} \),"Tổ chức, xúc tiến các sự kiện, triển lâm, hội nghị, hội thảo",,,1.0,0.419,,
63,63,63,Công ty TNHH Dịch vụ Anninh mạng VINCSS,Công ty VinCSS,"100,00%","100,00%",Khu Đô thị Sinh thái Vinhomes Riverside\( ^{(1)} \),Nghiên cứu khoa học và phát triển công nghệ,,,1.0,1.0,,
64,64,64,Công ty TNHH Giải pháp và Dịch vụ Công nghệ VinConnect,Công ty VinConnect,"100,00%","100,00%",Khu Đô thị Sinh thái Vinhomes Riverside\( ^{(1)} \),Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tỉnh,,,1.0,1.0,,
65,65,65,Công ty TNHH Sản xuất và Kinh doanh Phần mềm HMS,Công ty HMS,"100,00%","100,00%","Tầng 20A, số 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh.",Sản xuất phần mềm,,,1.0,1.0,,
66,66,66,Công ty Cổ phần V ngroup Ventures,Công ty Vingroup Ventures,"70,00%","70,00%",Khu Đô thị Sinh thái Vinhomes Riverside\( ^{(1)} \),"Hoạt động tư vấn, đầu tư",,,0.7,0.7,,
67,67,67,Công ty TNHH Kinh doanh Bất động sản Phú Gia (*),Công ty Phú Gia,"98,00%","71,10%","Số 63 phố Hàng Gà, phường Hàng Bồ, quận Hoàn Kiểm, Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,0.98,0.711,,
(1),(1),(1),"Tên địa chỉ đầy đủ: Số 7, đường Bằng Lăng 1, khu Đô thị sinh thái Vinhomes Riverside, phường Việt Hưng, quận Long Biên, TP Hà Nội.","Tên địa chỉ đầy đủ: Số 7, đường Bằng Lăng 1, khu Đô thị sinh thái Vinhomes Riverside, phường Việt Hưng, quận Long Biên, TP Hà Nội.","Tên địa chỉ đầy đủ: Số 7, đường Bằng Lăng 1, khu Đô thị sinh thái Vinhomes Riverside, phường Việt Hưng, quận Long Biên, TP Hà Nội.","Tên địa chỉ đầy đủ: Số 7, đường Bằng Lăng 1, khu Đô thị sinh thái Vinhomes Riverside, phường Việt Hưng, quận Long Biên, TP Hà Nội.","Tên địa chỉ đầy đủ: Số 7, đường Bằng Lăng 1, khu Đô thị sinh thái Vinhomes Riverside, phường Việt Hưng, quận Long Biên, TP Hà Nội.","Tên địa chỉ đầy đủ: Số 7, đường Bằng Lăng 1, khu Đô thị sinh thái Vinhomes Riverside, phường Việt Hưng, quận Long Biên, TP Hà Nội.",,,,,,
(*),(*),(*),Công ty con này đang trong quá trình làm thủ tục giải thể.,Công ty con này đang trong quá trình làm thủ tục giải thể.,Công ty con này đang trong quá trình làm thủ tục giải thể.,Công ty con này đang trong quá trình làm thủ tục giải thể.,Công ty con này đang trong quá trình làm thủ tục giải thể.,Công ty con này đang trong quá trình làm thủ tục giải thể.,,,,,,
