row_label_raw,row_label_full,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm
195.740.454.973,195.740.454.973,195.740.454.973,258.527.762.597,258527762597.0
198.171.734.751,198.171.734.751,198.171.734.751,58.674.470.568,58674470568.0
167.328.889.870,167.328.889.870,167.328.889.870,-,
72.467.515.857,72.467.515.857,72.467.515.857,-,
23.580.667.484,72.467.515.857 > 23.580.667.484,23.580.667.484,44.922.564.536,44922564536.0
34.733.745.096,34.733.745.096,34.733.745.096,-,
-,34.733.745.096 > -,-,18.454.256.236,18454256236.0
-,34.733.745.096 > -,-,65.922.007.561,65922007561.0
36.727.827.720,36.727.827.720,36.727.827.720,-,
-,36.727.827.720 > -,-,44.020.551.017,44020551017.0
-,36.727.827.720 > -,-,6.828.433.395,6828433395.0
-,36.727.827.720 > -,-,387.202.959.471,387202959471.0
-,36.727.827.720 > -,-,96.059.691.186,96059691186.0
29.197.330.356,29.197.330.356,29.197.330.356,-,
757.948.166.107,29.197.330.356 > 757.948.166.107,757.948.166.107,980.612.696.567,980612696567.0
,,,Đơn vị tính: VND,
Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,
41.267.745.122,41.267.745.122,41.267.745.122,-,
-,41.267.745.122 > -,-,171.488.628.183,171488628183.0
755.178.500,41.267.745.122 > 755.178.500,755.178.500,62.992.714.037,62992714037.0
2.699.168.000,41.267.745.122 > 2.699.168.000,2.699.168.000,190.369.400,190369400.0
44.722.091.622,41.267.745.122 > 44.722.091.622,44.722.091.622,234.671.711.620,234671711620.0
