row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Quyền sử dụng đất,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Quyền sử dụng đất,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số dư đầu năm,Nguyên giá: > Số dư đầu năm,Số dư đầu năm,3.952.918.910.167,288.359.523.532,738.704.548.312,4.979.982.982.011,3952918910167.0,288359523532.0,738704548312.0,4979982982011.0
- Xây dựng mới,Nguyên giá: > - Xây dựng mới,- Xây dựng mới,3.522.696.461.196,62.846.083.428,2.429.064.502.765,6.014.607.047.389,3522696461196.0,62846083428.0,2429064502765.0,6014607047389.0
Số dư cuối năm,Nguyên giá: > Số dư cuối năm,Số dư cuối năm,7.475.615.371.363,351.205.606.960,3.167.769.051.077,10.994.590.029.400,7475615371363.0,351205606960.0,3167769051077.0,10994590029400.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,95.331.893.541,6.918.473.010,57.144.016.245,159.394.382.796,95331893541.0,6918473010.0,57144016245.0,159394382796.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,120.486.974.248,6.371.769.255,192.603.451.283,319.462.194.786,120486974248.0,6371769255.0,192603451283.0,319462194786.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,215.818.867.789,13.290.242.265,249.747.467.528,478.856.577.582,215818867789.0,13290242265.0,249747467528.0,478856577582.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư đầu năm,Giá trị còn lại: > Số dư đầu năm,Số dư đầu năm,3.857.587.016.626,281.441.050.522,681.560.532.067,4.820.588.599.215,3857587016626.0,281441050522.0,681560532067.0,4820588599215.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,7.259.796.503.574,337.915.364.695,2.918.021.583.549,10.515.733.451.818,7259796503574.0,337915364695.0,2918021583549.0,10515733451818.0
