row_label_raw,row_label_full,STT,Bên nhận đầu tư,Vốn điều lệ của bên nhận đầu tư,Cam kết góp vốn của Công ty,Cam kết góp vốn của Công ty_1,Số vốn thực góp,Số vốn thực góp_1,numeric__Bên nhận đầu tư,numeric__Vốn điều lệ của bên nhận đầu tư,numeric__Cam kết góp vốn của Công ty,numeric__Cam kết góp vốn của Công ty_1,numeric__Số vốn thực góp,numeric__Số vốn thực góp_1
STT,STT,STT,Bên nhận đầu tư,Vốn điều lệ của bên nhận đầu tư,Số tiền,%,Số tiền,Số tiền,,,,,,
,,,,VND,VND,,VND,VND,,,,,,
1,STT > 1,1,Công ty VinID,3.000.000.000.000,2.400.000.000.000,"80,00",157.010.000.000,2.242.990.000.000,,3000000000000.0,2400000000000.0,80.0,157010000000.0,2242990000000.0
2,STT > 2,2,Công ty VinConnect,300.000.000.000,300.000.000.000,"100,00",1.500.000.000,298.500.000.000,,300000000000.0,300000000000.0,100.0,1500000000.0,298500000000.0
3,STT > 3,3,Công ty Vingroup Ventures,70.000.000.000,49.000.000.000,"70,00",1.000.000.000,48.000.000.000,,70000000000.0,49000000000.0,70.0,1000000000.0,48000000000.0
4,STT > 4,4,Công ty BDS Thắng Long,50.000.000.000,36.500.000.000,"73,00",31.500.000.000,5.000.000.000,,50000000000.0,36500000000.0,73.0,31500000000.0,5000000000.0
5,STT > 5,5,Công ty HMS,50.000.000.000,50.000.000.000,"100,00",2.500.000.000,47.500.000.000,,50000000000.0,50000000000.0,100.0,2500000000.0,47500000000.0
6,STT > 6,6,Công ty VinCSS,20.000.000.000,20.000.000.000,"100,00",3.500.000.000,16.500.000.000,,20000000000.0,20000000000.0,100.0,3500000000.0,16500000000.0
7,STT > 7,7,Công ty Phúc An,20.000.000.000,17.000.000.000,"85,00",-,17.000.000.000,,20000000000.0,17000000000.0,85.0,,17000000000.0
8,STT > 8,8,Công ty An Thịnh,20.000.000.000,1.000.000.000,"5,00",50.000.000,950.000.000,,20000000000.0,1000000000.0,5.0,50000000.0,950000000.0
,,,,3.530.000.000.000,2.873.500.000.000,,197.060.000.000,2.676.440.000.000,,3530000000000.0,2873500000000.0,,197060000000.0,2676440000000.0
