row_label_raw,row_label_full,Nội dung giao dịch,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí từ thiện phát sinh,Chi phí từ thiện phát sinh,Chi phí từ thiện phát sinh,-,(385.000.000.000),,-385000000000.0
Chuyển tiền chi trả hộ cho Quỹ Thiện Tâm,Chuyển tiền chi trả hộ cho Quỹ Thiện Tâm,Chuyển tiền chi trả hộ cho Quỹ Thiện Tâm,1.494.612.000.000,385.000.000.000,1494612000000.0,385000000000.0
Thu hồi các khoản chi trả hộ từ Quỹ Thiện Tâm,Thu hồi các khoản chi trả hộ từ Quỹ Thiện Tâm,Thu hồi các khoản chi trả hộ từ Quỹ Thiện Tâm,(360.612.000.000),-,-360612000000.0,
