row_label_raw,row_label_full,STT,Tên đơn vị (*),Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý,Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý,Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Tên đơn vị (*),numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp,numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp
25,25,25,Công ty BDS Hà Thành,(8),1.800.000,18.000.000.000,(**),"90,00%",-,-,-,-,,-8.0,1800000.0,18000000000.0,,0.9,,,,
26,26,26,Công ty VinCSS,(8),(*),3.500.000.000,(**),"100,00%",-,-,-,-,,-8.0,,3500000000.0,,1.0,,,,
27,27,27,Công ty HMS,(8),(*),2.500.000.000,(**),"100,00%",-,-,-,-,,-8.0,,2500000000.0,,1.0,,,,
28,28,28,Công ty VinConnect,(8),(*),1.500.000.000,(**),"100,00%",-,-,-,-,,-8.0,,1500000000.0,,1.0,,,,
29,29,29,Công ty Vingroup Ventures,(8),100.000,1.000.000.000,(**),"70,00%",-,-,-,-,,-8.0,100000.0,1000000000.0,,0.7,,,,
30,30,30,Công ty An Thịnh,(8),5.000,50.000.000,,"5,00%",-,-,-,-,,-8.0,5000.0,50000000.0,,0.05,,,,
31,31,31,Công ty TNHH Quản lý Xây dựng Vincom,(10),,,,,,,,,,-10.0,,,,,,,,
32,32,32,Công ty Hoàng Gia,(11),-,-,-,-,(*),270.000.000.000,(**),"100,00%",,-11.0,,,,,,270000000000.0,,1.0
33,33,33,Công ty Cổ phần Đầu tư Xây dựng Tân Liên Phát,(1),-,-,-,-,141.330.000,1.987.657.117.638,(**),"57,85%",,-1.0,,,,,141330000.0,1987657117638.0,,0.5785
34,34,34,Công ty Cổ phần Phát triển nhà Phúc Đồng,(12),,,,,,,,,,-12.0,,,,,,,,
35,35,35,Công ty Tây Tăng Long,(13),-,-,-,-,409.375.000,8.551.390.138.887,(**),"62,50%",,-13.0,,,,,409375000.0,8551390138887.0,,0.625
36,36,36,"Công ty Cổ phần Phát triển thế thao và giải trí Mễ Trí (""Công ty Mễ Trí"")",,-,-,-,-,(*),294.000.000.000,(**),"98,00%",,,,,,,,294000000000.0,,0.98
37,37,37,"Công ty TNHH Kinh doanh Thương mại và Dịch vụ VinDS (""Công ty VinDS"")",(3),-,-,-,-,834.000,26.959.050.000,(**),"1,00%",,-3.0,,,,,834000.0,26959050000.0,,0.01
38,38,38,Công ty Phúc An,,-,-,-,"85,00%",-,-,-,-,,,,,,0.85,,,,
,,,,,70.687.076.246.722,70.687.076.246.722,70.687.076.246.722,70.687.076.246.722,56.274.105.299.937,56.274.105.299.937,56.274.105.299.937,56.274.105.299.937,,,70687076246722.0,70687076246722.0,70687076246722.0,70687076246722.0,56274105299937.0,56274105299937.0,56274105299937.0,56274105299937.0
,,,Dự phòng đầu tư vào các công ty con,,(898.955.613.414),(898.955.613.414),(898.955.613.414),(898.955.613.414),(218.624.976.759),(218.624.976.759),(218.624.976.759),(218.624.976.759),,,-898955613414.0,-898955613414.0,-898955613414.0,-898955613414.0,-218624976759.0,-218624976759.0,-218624976759.0,-218624976759.0
