row_label_raw,row_label_full,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm
1.134.000.000.000,1.134.000.000.000,1.134.000.000.000,-,
403.684.981.009,1.134.000.000.000 > 403.684.981.009,403.684.981.009,99.406.323.473,99406323473.0
63.994.750.791,63.994.750.791,63.994.750.791,-,
13.242.672.928,63.994.750.791 > 13.242.672.928,13.242.672.928,12.767.314.126,12767314126.0
10.976.551.479,10.976.551.479,10.976.551.479,-,
293.607.673.896,10.976.551.479 > 293.607.673.896,293.607.673.896,205.845.359.380,205845359380.0
20.153.313.775,10.976.551.479 > 20.153.313.775,20.153.313.775,37.213.214.839,37213214839.0
16.571.952.781,10.976.551.479 > 16.571.952.781,16.571.952.781,11.113.951.945,11113951945.0
19.114.911.812,10.976.551.479 > 19.114.911.812,19.114.911.812,346.644.195.192,346644195192.0
223.126.568.495,10.976.551.479 > 223.126.568.495,223.126.568.495,64.319.500.004,64319500004.0
6.844.761.404,6.844.761.404,6.844.761.404,-,
186.517.447.918,6.844.761.404 > 186.517.447.918,186.517.447.918,64.190.805.600,64190805600.0
14.323.680.220,14.323.680.220,14.323.680.220,-,
22.040.118.241,22.040.118.241,22.040.118.241,-,
76.029.726.028,76.029.726.028,76.029.726.028,-,
-,76.029.726.028 > -,-,449.115.355.917,449115355917.0
-,76.029.726.028 > -,-,131.796.036.112,131796036112.0
-,76.029.726.028 > -,-,82.026.282.499,82026282499.0
138.020.951.377,138.020.951.377,138.020.951.377,-,
57.512.327.675,138.020.951.377 > 57.512.327.675,57.512.327.675,99.516.711.228,99516711228.0
23.227.604.117,138.020.951.377 > 23.227.604.117,23.227.604.117,319.968.004.792,319968004792.0
2.722.989.993.946,138.020.951.377 > 2.722.989.993.946,2.722.989.993.946,1.923.923.055.107,1923923055107.0
