row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,Phải trả người bán ngắn hạn khác,1.765.001.620.906,1.112.569.974.133,1765001620906.0,1112569974133.0
Phải trả các bên liên quan(Thuyết minh số 30.2),Phải trả các bên liên quan(Thuyết minh số 30.2),Phải trả các bên liên quan(Thuyết minh số 30.2),154.335.772.908,20.366.886.457.438,154335772908.0,20366886457438.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.919.337.393.814,21.479.456.431.571,1919337393814.0,21479456431571.0
