row_label_raw,row_label_full,STT,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý,Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp,Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý,Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp,numeric__Tên đơn vị,numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Tỷ lệ vốn nằm giữ trực tiếp,numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Tỷ lệ vốn nằm giữ trực tiếp
1,1,1,Công ty Vinhomes,"(1), (14)",2.333.164.250,22.981.447.177.505,171.254.255.950.000,"69,66%",197.800.000,5.792.493.038.618,(**),"98,90%",,,2333164250.0,22981447177505.0,171254255950000.0,0.6966,197800000.0,5792493038618.0,,0.9890000000000001
2,2,2,Công ty Vinpearl,"(2), (14)",522.330.408,15.312.294.541.074,(**),"81,34%",423.855.476,13.707.830.720.875,(**),"71,81%",,,522330408.0,15312294541074.0,,0.8134,423855476.0,13707830720875.0,,0.7181000000000001
3,3,3,Công ty Vincommerce,"(3), (14)",525.542.842,6.054.476.794.918,(**),"64,27%",299.803.800,3.559.406.034.344,(**),"37,59%",,,525542842.0,6054476794918.0,,0.6426999999999999,299803800.0,3559406034344.0,,0.3759
4,4,4,Công ty Vinfast,"(4), (14)",(*),6.500.000.000.000,(**),"25,90%",(*),5.250.000.000.000,(**),"100,00%",,,,6500000000000.0,,0.259,,5250000000000.0,,1.0
5,5,5,Công ty Vincom Retail,(14),427.715.102,3.501.335.054.034,11.933.251.335.338,"18,37%",349.155.185,3.501.335.054.034,16.462.666.972.750,"18,37%",,-14.0,427715102.0,3501335054034.0,11933251335338.0,0.1837,349155185.0,3501335054034.0,16462666972750.0,0.1837
6,6,6,Công ty Vinmec,,323.391.992,3.233.919.920.000,(**),"99,00%",323.391.992,3.233.919.920.000,(**),"99,00%",,,323391992.0,3233919920000.0,,0.99,323391992.0,3233919920000.0,,0.99
7,7,7,Công ty Sài Đồng,(14),112.800.300,2.212.943.935.291,5.944.575.810.000,"94,00%",112.800.300,2.212.943.935.291,9.791.066.040.000,"94,00%",,-14.0,112800300.0,2212943935291.0,5944575810000.0,0.94,112800300.0,2212943935291.0,9791066040000.0,0.94
8,8,8,Công ty Xavinco,(14),190.875.000,2.071.029.000.000,(**),"95,44%",190.875.000,2.071.029.000.000,(**),"95,44%",,-14.0,190875000.0,2071029000000.0,,0.9544,190875000.0,2071029000000.0,,0.9544
9,9,9,Công ty Nam Hà Nội,"(1), (14)",(*),1.568.884.500.000,(**),"100,00%",-,-,-,-,,,,1568884500000.0,,1.0,,,,
10,10,10,Công ty Triển lâm Việt Nam,,138.810.945,1.395.329.678.450,9.911.101.473.000,"83,32%",138.810.945,1.395.329.678.450,8.702.058.142.050,"83,32%",,,138810945.0,1395329678450.0,9911101473000.0,0.8331999999999999,138810945.0,1395329678450.0,8702058142050.0,0.8331999999999999
11,11,11,Công ty Vinsmart,(5),124.068.200,1.240.682.000.000,(**),"62,03%",-,-,-,-,,-5.0,124068200.0,1240682000000.0,,0.6203,,,,
12,12,12,Công ty VinTech,"(5), (14)",80.000.000,800.000.000.000,(**),"80,00%",-,-,-,-,,,80000000.0,800000000000.0,,0.8,,,,
13,13,13,Công ty Ngôi Sao Phương Nam,,59.400.000,785.456.000.000,(**),"99,00%",59.400.000,785.456.000.000,(**),"99,00%",,,59400000.0,785456000000.0,,0.99,59400000.0,785456000000.0,,0.99
14,14,14,Công ty VinEco,(14),(*),600.490.000.000,(**),"30,00%",(*),600.490.000.000,(**),"30,00%",,-14.0,,600490000000.0,,0.3,,600490000000.0,,0.3
15,15,15,Công ty Thời Đại,(6),(*),561.000.000.000,(**),"100,00%",(*),1.561.000.000.000,(**),"100,00%",,-6.0,,561000000000.0,,1.0,,1561000000000.0,,1.0
16,16,16,Công ty Sách Việt Nam,,44.364.274,475.165.611.800,767.501.940.200,"65,33%",44.364.274,475.165.611.800,796.471.811.122,"65,33%",,,44364274.0,475165611800.0,767501940200.0,0.6533,44364274.0,475165611800.0,796471811122.0,0.6533
17,17,17,Công ty Vinfa,(7),44.338.000,443.380.000.000,(**),"96,39%",-,-,-,-,,-7.0,44338000.0,443380000000.0,,0.9639,,,,
18,18,18,Công ty VinAcademy,,(*),235.000.000.000,(**),"94,00%",(*),235.000.000.000,(**),"94,00%",,,,235000000000.0,,0.94,,235000000000.0,,0.94
19,19,19,Công ty BĐS Thăng Long,,3.150.000,199.700.000.000,(**),"63,00%",3.150.000,199.700.000.000,(**),"63,00%",,,3150000.0,199700000000.0,,0.63,3150000.0,199700000000.0,,0.63
20,20,20,Công ty VinID,(8) (14),15.701.000,157.010.000.000,(**),"80,00%",-,-,-,-,,,15701000.0,157010000000.0,,0.8,,,,
21,21,21,Công ty Vinschool,,(*),100.000.000.000,(**),"100,00%",(*),100.000.000.000,(**),"100,00%",,,,100000000000.0,,1.0,,100000000000.0,,1.0
22,22,22,Công ty Vinpro,(3),31.175.478,96.382.033.650,(**),"61,82%",-,-,-,-,,-3.0,31175478.0,96382033650.0,,0.6182,,,,
23,23,23,Công ty Vincom Service,(9),(*),84.600.000.000,(**),"94,00%",(*),376.000.000.000,(**),"94,00%",,-9.0,,84600000000.0,,0.94,,376000000000.0,,0.94
24,24,24,Công ty Bảo vệ Vincom,,(*),50.000.000.000,(**),"100,00%",(*),50.000.000.000,(**),"100,00%",,,,50000000000.0,,1.0,,50000000000.0,,1.0
