row_label_raw,row_label_full,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Đơn vị tính: VND Số đầu năm
10.945.229.708.712,10.945.229.708.712,10.945.229.708.712,-,
2.402.529.000.000,2.402.529.000.000,2.402.529.000.000,-,
1.294.821.080.000,1.294.821.080.000,1.294.821.080.000,-,
2.307.887.615.839,2.307.887.615.839,2.307.887.615.839,-,
-,2.307.887.615.839 > -,-,53.070.861.526,53070861526.0
11.743.124.442,11.743.124.442,11.743.124.442,-,
3.299.670.967.726,11.743.124.442 > 3.299.670.967.726,3.299.670.967.726,3.328.000.000.000,3328000000000.0
13.186.441.681.200,13.186.441.681.200,13.186.441.681.200,-,
215.139.605.876,13.186.441.681.200 > 215.139.605.876,215.139.605.876,452.545.226.877,452545226877.0
22.589.929.660,13.186.441.681.200 > 22.589.929.660,22.589.929.660,633.704.728.943,633704728943.0
70.326.265.890,70.326.265.890,70.326.265.890,-,
805.372.380.693,70.326.265.890 > 805.372.380.693,805.372.380.693,805.372.380.693,805372380693.0
782.645.467.442,70.326.265.890 > 782.645.467.442,782.645.467.442,1.007.829.003.339,1007829003339.0
4.044.452.000.000,4.044.452.000.000,4.044.452.000.000,-,
9.503.033.431,4.044.452.000.000 > 9.503.033.431,9.503.033.431,479.531.916.208,479531916208.0
9.494.435.257,4.044.452.000.000 > 9.494.435.257,9.494.435.257,2.754.075.938,2754075938.0
301.075.164.637,301.075.164.637,301.075.164.637,-,
98.000.000.000,98.000.000.000,98.000.000.000,-,
81.000.000.000,81.000.000.000,81.000.000.000,-,
29.275.671.748,81.000.000.000 > 29.275.671.748,29.275.671.748,69.152.582.704,69152582704.0
-,81.000.000.000 > -,-,101.437.710.789,101437710789.0
74.470.582.483,81.000.000.000 > 74.470.582.483,74.470.582.483,166.907.343.817,166907343817.0
6.253.766.125,81.000.000.000 > 6.253.766.125,6.253.766.125,36.097.966.436,36097966436.0
21.806.520.769,81.000.000.000 > 21.806.520.769,21.806.520.769,69.152.583.555,69152583555.0
40.019.728.001.930,81.000.000.000 > 40.019.728.001.930,40.019.728.001.930,7.205.556.380.825,7205556380825.0
-,81.000.000.000 > -,-,226.000.000.000,226000000000.0
-,81.000.000.000 > -,-,226.000.000.000,226000000000.0
