row_label_raw,row_label_full,Bên liên quan > Công ty Sài Đồng,Mối quan hệ > Công ty con,"Nội dung nghiệp vụ > Cho vayThu hồi khoản vayLãi vay phải thuThanh toán mua tài sản, dịch vụDoanh thu cung cấp dịch vụ quản lý phải thuDoanh thu cung cấp dịch vụ quản lý đã thuNhận chuyển nhượng khoản đầu tưThanh toán giá mua khoản đầu tưTiền chuyển từ công ty con vào tài khoản quản lý tiền tập trungTiền chuyển từ tài khoản quản lý tiền tập trung cho các công ty con",Năm nay > 2.560.000.000.000(1.885.000.000.000)76.029.726.02867.975.103.62112.953.565.530(97.967.352.320)(1.665.550.000.000)1.665.550.000.000(3.631.377.814.385)3.671.254.725.341,Đơn vị tính: VNDNăm trước > 1.610.000.000.000(1.610.000.000.000)8.170.555.55914.574.962.215171.602.860.255(111.304.203.788)3.408.829.200(3.408.829.200)(5.753.069.084.890)5.706.488.959.293,numeric__Mối quan hệ > Công ty con,"numeric__Nội dung nghiệp vụ > Cho vayThu hồi khoản vayLãi vay phải thuThanh toán mua tài sản, dịch vụDoanh thu cung cấp dịch vụ quản lý phải thuDoanh thu cung cấp dịch vụ quản lý đã thuNhận chuyển nhượng khoản đầu tưThanh toán giá mua khoản đầu tưTiền chuyển từ công ty con vào tài khoản quản lý tiền tập trungTiền chuyển từ tài khoản quản lý tiền tập trung cho các công ty con",numeric__Năm nay > 2.560.000.000.000(1.885.000.000.000)76.029.726.02867.975.103.62112.953.565.530(97.967.352.320)(1.665.550.000.000)1.665.550.000.000(3.631.377.814.385)3.671.254.725.341,numeric__Đơn vị tính: VNDNăm trước > 1.610.000.000.000(1.610.000.000.000)8.170.555.55914.574.962.215171.602.860.255(111.304.203.788)3.408.829.200(3.408.829.200)(5.753.069.084.890)5.706.488.959.293
Công ty Cần Giờ,Công ty Cần Giờ,Công ty Cần Giờ,Công ty con,Nhận chuyển nhượng khoản đầu tưThanh toán giá mua khoản đầu tư,-2.370.400.000.000,(2.370.400.000.000)-,,,-2370400000000.0,
Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,Công ty con,Thanh toán khoản vayLãi vay phải trảLãi vay đã trả,785.836.450.000(24.311.622.116)211.267.756.488,735.000.000.000(71.919.842.645)-,,,,
Công ty Tây Hà Nội,Công ty Tây Hà Nội,Công ty Tây Hà Nội,Công ty con,"Cho vayThu hồi khoản vayCấn trừ, thu hồi khoản đặt cọc cho mục đích hợp tác đầu tưLãi cọc phải thuLãi vay đã thu",1.400.000.000.000(1.400.000.000.000)(4.500.000.000.000)172.947.945.206(355.593.287.671),-,,,,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,Cho vayThu hồi khoản vayĐi vayThanh toán khoản vay,1.287.500.000.000(1.068.500.000.000)-163.000.000.000,169.374.361.112(169.374.361.112)(729.000.000.000)626.000.000.000,,,,
