row_label_raw,row_label_full,STT,Tên công ty,Tên viết tắt,Tỷ lệ biểu quyết (%),Tỷ lệ lợi ích (%),Trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tên viết tắt,numeric__Tỷ lệ biểu quyết (%),numeric__Tỷ lệ lợi ích (%),numeric__Trụ sở chính,numeric__Hoạt động chính
24,24,24,Công ty CP Đầu tư và Phát triển Làng Vân,Công ty Làng Vân,"100,00%","73,12%","07 Trường Sa, phường Hoà Hải, uận Ngũ Hành Sơn, tỉnhĐà Nẵng","Đầu tư, xây dựng và kinh doanh bất động sản",,,1.0,0.7312000000000001,,
25,25,25,Công ty TNHH Trung tâm Tài chính Việt Nam BERJAYA,Công ty TTTC Berjaya,"67,50%","48,80%","Tầng 20A, Tòa nhà Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,0.675,0.488,,
26,26,26,Công ty TNHH Kinh doanh và Phát triển Đô thị Nam Hà Nội,Công ty Nam Hà Nội,"100,00%","100,00%",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng và kinh doanh bất động sản",,,1.0,1.0,,
27,27,27,Công Ty TNHH Thương mại Đầu tư và Phát triển Thiên Niên Kỹ,Công ty Thiên Niên Kỹ,"100,00%","72,31%","Tầng 20A, Tòa nhà Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản và cho thuê văn phòng",,,1.0,0.7231000000000001,,
28,28,28,Công ty Cổ phần Đầu tư Xây dựng Thái Sơn,Công ty Thái Sơn,"100,00%","72,31%","Số 290, đường Nam Kỳ Khởi Nghĩa, phường 8, quận 3, thành phố Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,1.0,0.7231000000000001,,
29,29,29,Công ty TNHH Đầu Tư Xây dựng Đất Rồng Vàng,Công ty Đất Rồng Vàng,"100,00%","72,31%","Số 290, đường Nam Kỳ Khởi Nghĩa, phường 8, quận 3, thành phố Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,1.0,0.7231000000000001,,
30,30,30,Công ty TNHH Đầu Tư Kinh doanh Phát triển Eô Thị Tây Hà Nội,Công ty Tây Hà Nội,"100,00%","72,31%","Phòng 10 tầng 2, tòa T4, TTTM Times City, số 458 Minh Khai, phường Vĩnh Tuy, quận Hai Bà Trung, Hà Nội","Đầu tư, xây dựng và kinh doanh bất động sản",,,1.0,0.7231000000000001,,
31,31,31,Công ty Cổ phần Phát triển GS Cử Chi,Công ty GS Cử Chi,"100,00%","72,23%","Số 60A Trường Sơn, phường 2, quận Tân Bình, thành phố Hồ Chí Minh.","Đầu tư, xây dựng và kinh doanh bất động sản",,,1.0,0.7223,,
32,32,32,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Hà Tnành,Công ty Hà Thành,"100,00%","95,69%",Khu Đô thị Sinh thái Vinhomes Riverside (1),"Đầu tư, xây dựng và kinh doanh bất động sản",,,1.0,0.9569,,
33,33,33,Công ty Cổ phần Đầu tư và Phát triển Du lịch Phúc An,Công ty Phúc An,"100,00%","92,95%",Khu Đô thị Sinh thái Vinhomes Riverside (1),Cung cấp dịch vụ lưu trú ngắn ngày,,,1.0,0.9295,,
34,34,34,Công ty Cổ phần Kinh doanh và Phát triển Thương mại An Tnịnh,Công ty An Thịnh,"100,00%","76,44%","Tầng 20A, Tòa nhà Vincom Center Đồng Khởi, 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh","Đầu tư, xây dựng và kinh doanh bất động sản",,,1.0,0.7644,,
35,35,35,Công ty Cổ phần Vìnpearl,Công ty Vìnpearl,"100,00%","93,57%","Đảo Hòn Tre, phường Vĩnh Nguyên, thành phố Nha Trang, tỉnh Khánh Hòa","Đầu tư, xây dựng và kinh doanh dịch vụ nhà hàng, khách sạn",,,1.0,0.9357,,
