row_label_raw,row_label_full,Mã số 05. Lãi từ hoạt động đầu tư,Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,Đơn vị tính: VNDNăm trước > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Năm nay > Mã số 05. Lãi từ hoạt động đầu tư,numeric__Đơn vị tính: VNDNăm trước > Mã số 05. Lãi từ hoạt động đầu tư
Lãi thuần từ thanh lý các khoản đầu tư,Lãi thuần từ thanh lý các khoản đầu tư,Lãi thuần từ thanh lý các khoản đầu tư,(12.425.313.029),(138.461.711.468),-12425313029.0,-138461711468.0
"Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức","Thu nhập lãi cho vay, lãi tiền gửi và cổ tức",(6.049.509.806.600),(3.747.302.393.550),-6049509806600.0,-3747302393550.0
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,(78.931.092),-,-78931092.0,
Tổng cộng,Tổng cộng,Tổng cộng,(6.062.014.050.721),(3.885.764.105.018),-6062014050721.0,-3885764105018.0
Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác,,
Tiền chi đầu tư vào công ty con,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi đầu tư vào công ty con,Tiền chi đầu tư vào công ty con,(32.671.293.849.897),(6.804.862.039.405),-32671293849897.0,-6804862039405.0
Tiền chi mua cổ phần/góp vốn vào các công ty khác,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tiền chi mua cổ phần/góp vốn vào các công ty khác,Tiền chi mua cổ phần/góp vốn vào các công ty khác,(13.192.344.160.000),(9.800.000.000),-13192344160000.0,-9800000000.0
Đặt cọc theo hợp đồng hợp tác kinh doanh,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Đặt cọc theo hợp đồng hợp tác kinh doanh,Đặt cọc theo hợp đồng hợp tác kinh doanh,-,(4.875.000.000.000),,-4875000000000.0
Hoàn trả cọc theo hợp đồng hợp tác kinh doanh,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Hoàn trả cọc theo hợp đồng hợp tác kinh doanh,Hoàn trả cọc theo hợp đồng hợp tác kinh doanh,(547.000.000.000),-,-547000000000.0,
Tổng cộng,Mã số 25. Tiền chi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,(46.410.638.009.897),(11.689.662.039.405),-46410638009897.0,-11689662039405.0
Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,
Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,Tiền thu do nhượng bán các khoản đầu tư vào công ty con sau khi trừ chi phí chuyển nhượng,3.911.851.748.468,18.675.295.595.559,3911851748468.0,18675295595559.0
Thu hồi vốn góp vào công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi vốn góp vào công ty con,Thu hồi vốn góp vào công ty con,291.400.000.000,120.000.000.000,291400000000.0,120000000000.0
Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,4.842.000.000.000,1.600.000.000.000,4842000000000.0,1600000000000.0
Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Nhận đặt cọc cho mục đích đầu tư vào các dự án bất động sản,6.941.827.047.668,6.362.719.655.221,6941827047668.0,6362719655221.0
Nhận đặt cọc cho mục đích chuyển nhượng khoản đầu tư vào công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Nhận đặt cọc cho mục đích chuyển nhượng khoản đầu tư vào công ty con,Nhận đặt cọc cho mục đích chuyển nhượng khoản đầu tư vào công ty con,15.588.970.681.200,306.062.000.000,15588970681200.0,306062000000.0
Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,Thu lại tiền đặt cọc cho mục đích mua cổ phần của công ty con,-,2.200.000.000.000,,2200000000000.0
Tổng cộng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,31.576.049.477.336,29.264.077.250.780,31576049477336.0,29264077250780.0
