row_label_raw,row_label_full,Công ty Xây dựng,Công ty Xây dựng_1,Công ty Xây dựng_2,Công ty Xây dựng_3,Công ty Xây dựng_4,numeric__Công ty Xây dựng_1,numeric__Công ty Xây dựng_2,numeric__Công ty Xây dựng_3,numeric__Công ty Xây dựng_4
Vincom 1,Vincom 1,Vincom 1,Công ty con,50.000.000.000,"7,00%",Tháng 5 năm 2018,,50000000000.0,0.07,
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty con,1.500.000.000.000,"7,00%",Tháng 12 năm 2018,,1500000000000.0,0.07,
Công ty BĐS Thắng Long,Công ty BĐS Thắng Long,Công ty BĐS Thắng Long,,55.204.181.818,"7,00%",Tháng 6 năm 2018,,55204181818.0,0.07,
Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty Tân Liên Phát,Công ty con,,,Từ tháng 11 đến,,,,
,,,,9.129.463.171.364,"7,00%",tháng 12 năm 2018,,9129463171364.0,0.07,
Công ty Thời Đại,Công ty Tân Liên Phát > Công ty Thời Đại,Công ty Thời Đại,Công ty con,1.142.045.833.333,"7,00%",Tháng 6 năm 2018,,1142045833333.0,0.07,
Công ty VinEco,Công ty Tân Liên Phát > Công ty VinEco,Công ty VinEco,Công ty con,1.169.000.000.000,"7,00%",Tháng 6 năm 2018,,1169000000000.0,0.07,
Công ty VinEco Tam Đảo,Công ty Tân Liên Phát > Công ty VinEco Tam Đảo,Công ty VinEco Tam Đảo,Công ty con,14.000.000.000,"7,00%",Tháng 4 năm 2018,,14000000000.0,0.07,
Công ty Vinmec,Công ty Tân Liên Phát > Công ty Vinmec,Công ty Vinmec,Công ty con,2.698.000.000.000,"7,00%",Tháng 6 năm 2018,,2698000000000.0,0.07,
Công ty Vincommerce,Công ty Tân Liên Phát > Công ty Vincommerce,Công ty Vincommerce,Công ty con,3.370.000.000.000,"7,00%",Tháng 3 năm 2018,,3370000000000.0,0.07,
Công ty VinDS,Công ty Tân Liên Phát > Công ty VinDS,Công ty VinDS,Công ty con,660.000.000.000,"7,00%",Tháng 5 năm 2018,,660000000000.0,0.07,
