row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị đồng thời là số có khả năng trả nợ > Số đầu năm
Trả trước theo các hợp đồng chuyển nhượng bắt động sản,Trả trước theo các hợp đồng chuyển nhượng bắt động sản,Trả trước theo các hợp đồng chuyển nhượng bắt động sản,4.091.467.391.266,8.128.617.234.858,4091467391266.0,8128617234858.0
Trả trước theo hợp đồng xây dựng,Trả trước theo hợp đồng xây dựng,Trả trước theo hợp đồng xây dựng,352.895.631.562,124.567.504.500,352895631562.0,124567504500.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.444.363.022.828,8.253.184.739.358,4444363022828.0,8253184739358.0
