row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,190.070.769.376,508.443.633.641,190070769376.0,508443633641.0
Chi phí thuế thu nhập doanh nghiệp tạm tính,Ngắn hạn > Chi phí thuế thu nhập doanh nghiệp tạm tính,Chi phí thuế thu nhập doanh nghiệp tạm tính,43.933.623.208,82.591.555.608,43933623208.0,82591555608.0
Chi phí bản quyền phần mềm,Ngắn hạn > Chi phí bản quyền phần mềm,Chi phí bản quyền phần mềm,28.096.549.311,25.604.683.358,28096549311.0,25604683358.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,21.921.947.718,6.092.863.074,21921947718.0,6092863074.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,284.022.889.613,622.732.735.681,284022889613.0,622732735681.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tiền thuê đất trả trước,Dài hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,716.694.442.274,91.066.805.834,716694442274.0,91066805834.0
Chi phí giải phóng mắt bằng,Dài hạn > Chi phí giải phóng mắt bằng,Chi phí giải phóng mắt bằng,279.689.397.589,279.689.397.589,279689397589.0,279689397589.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,6.597.853.418,6.080.676.714,6597853418.0,6080676714.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.002.981.693.281,376.836.880.137,1002981693281.0,376836880137.0
