row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,Tổng cộngTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,339.374,65.493,28.294,433.161,339374.0,65493.0,28294.0,433161.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,4.567.908,1.285,-,4.569.193,4567908.0,1285.0,,4569193.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,247.014,92.424,105.759,445.197,247014.0,92424.0,105759.0,445197.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,28.165.359,258.345,242.270,28.665.974,28165359.0,258345.0,242270.0,28665974.0
Cho vay khách hàng và hoạt động mua nợ - gộp,Tài sản > Cho vay khách hàng và hoạt động mua nợ - gộp,Cho vay khách hàng và hoạt động mua nợ - gộp,2.346.177,-,-,2.346.177,2346177.0,,,2346177.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",594,-,-,594,594.0,,,594.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.379.341,138,176,1.379.655,1379341.0,138.0,176.0,1379655.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,37.045.767,417.685,376.499,37.839.951,37045767.0,417685.0,376499.0,37839951.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,28.274.895,-,-,28.274.895,28274895.0,,,28274895.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,8.433.799,415.080,372.205,9.221.084,8433799.0,415080.0,372205.0,9221084.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,67.252,1.719,2.539,71.510,67252.0,1719.0,2539.0,71510.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,36.775.946,416.799,374.744,37.567.489,36775946.0,416799.0,374744.0,37567489.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,269.821,886,1.755,272.462,269821.0,886.0,1755.0,272462.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,(639.202),2.082,825,(636.295),-639202.0,2082.0,825.0,-636295.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",(369.381),2.968,2.580,(363.833),-369381.0,2968.0,2580.0,-363833.0
