row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2022Triệu VND,31/12/2021Triệu VND,numeric__Thuyết minh,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,18,71.166.441,64.456.470,18.0,71166441.0,64456470.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,45.957.711,38.019.670,,45957711.0,38019670.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,25.208.730,26.436.800,,25208730.0,26436800.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,200.510.058,173.702.652,19.0,200510058.0,173702652.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,-,63.933,7.0,,63933.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,8.092,8.648,20.0,8092.0,8648.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,31.774.818,42.298.182,21.0,31774818.0,42298182.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,22,7.047.060,4.811.194,22.0,7047060.0,4811194.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,3.740.862,2.552.910,,3740862.0,2552910.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,,3.306.198,2.258.284,,3306198.0,2258284.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,310.506.469,285.341.079,,310506469.0,285341079.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn và các quỹ,VỐN CHỦ SỞ HỮU > Vốn và các quỹ,Vốn và các quỹ,23,32.603.392,24.251.383,23.0,32603392.0,24251383.0
Vốn của TCTD,VỐN CHỦ SỞ HỮU > Vốn của TCTD,Vốn của TCTD,,21.078.270,15.532.910,,21078270.0,15532910.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,21.076.730,15.531.430,,21076730.0,15531430.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,1.540,1.480,,1540.0,1480.0
Các quỹ của TCTD,VỐN CHỦ SỞ HỮU > Các quỹ của TCTD,Các quỹ của TCTD,,2.494.873,1.766.975,,2494873.0,1766975.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,9.030.249,6.951.498,,9030249.0,6951498.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,,32.603.392,24.251.383,,32603392.0,24251383.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,343.109.861,309.592.462,,343109861.0,309592462.0
