row_label_raw,row_label_full,"Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_1","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_2","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_3","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_4","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_5","Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_6","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_1","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_2","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_3","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_4","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_5","numeric__Ngân hàng thương mại cổ phần Quốc Tế Việt NamTầng 1 (Tầng trệt) và Tầng 2 Toà nhà Sailing Tower Số 111A Pasteur, Phường Bến Nghé, Quận 1Thành phố Hồ Chí Minh, Việt NamThuyết minh báo cáo tài chính riêng cho năm kết thúc ngày 31 tháng 12 năm 2022 (tiếp theo)_6"
,,,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định hữu hình khác Triệu VND,Tổng cộngTriệu VND,,,,,,
Nguyên giáSố dư đầu năm,Nguyên giáSố dư đầu năm,Nguyên giáSố dư đầu năm,106.392,420.446,49.614,59.416,100.981,736.849,106392.0,420446.0,49614.0,59416.0,100981.0,736849.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.267,64.616,11.079,26.342,8.700,113.004,2267.0,64616.0,11079.0,26342.0,8700.0,113004.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.343),(912),(4.380),(618),(3.614),(13.867),-4343.0,-912.0,-4380.0,-618.0,-3614.0,-13867.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,104.316,484.150,56.313,85.140,106.067,835.986,104316.0,484150.0,56313.0,85140.0,106067.0,835986.0
Hao mòn lũy kếSố dư đầu năm,Hao mòn lũy kếSố dư đầu năm,Hao mòn lũy kếSố dư đầu năm,50.867,263.657,45.920,31.965,84.549,476.958,50867.0,263657.0,45920.0,31965.0,84549.0,476958.0
Khấu hao trong năm,Khấu hao trong năm,Khấu hao trong năm,6.406,41.830,1.918,12.785,8.176,71.115,6406.0,41830.0,1918.0,12785.0,8176.0,71115.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.343),(912),(4.380),(618),(3.614),(13.867),-4343.0,-912.0,-4380.0,-618.0,-3614.0,-13867.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,52.930,304.575,43.458,44.132,89.111,534.206,52930.0,304575.0,43458.0,44132.0,89111.0,534206.0
Giá trị còn lạiSố dư đầu năm,Giá trị còn lạiSố dư đầu năm,Giá trị còn lạiSố dư đầu năm,55.525,156.789,3.694,27.451,16.432,259.891,55525.0,156789.0,3694.0,27451.0,16432.0,259891.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,51.386,179.575,12.855,41.008,16.956,301.780,51386.0,179575.0,12855.0,41008.0,16956.0,301780.0
