row_label_raw,row_label_full,col_0,Phần mềm máy vi tínhTriệu VND,Tài sân cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sân cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,575.476,7.246,582.722,575476.0,7246.0,582722.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,50.053,-,50.053,50053.0,,50053.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,625.529,7.246,632.775,625529.0,7246.0,632775.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,273.445,7.221,280.666,273445.0,7221.0,280666.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,60.176,22,60.198,60176.0,22.0,60198.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,333.621,7.243,340.864,333621.0,7243.0,340864.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,302.031,25,302.056,302031.0,25.0,302056.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,291.908,3,291.911,291908.0,3.0,291911.0
