row_label_raw,row_label_full,Bà Nguyễn Thùy Linh,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Bà Nguyễn Lương Thị Bích Thùy,Bà Nguyễn Lương Thị Bích Thùy,Bà Nguyễn Lương Thị Bích Thùy,Thành viên,
Ông Đào Quang Ngọc,Ông Đào Quang Ngọc,Ông Đào Quang Ngọc,Thành viên,
