row_label_raw,row_label_full,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
Đến 3 tháng Triệu VND,Đến 3 tháng Triệu VND,Đến 3 tháng Triệu VND,Trên 3 tháng Triệu VND,Đến 1 tháng Triệu VND,Từ 1 đến 3 tháng Triệu VND,Từ 3 đến 12 tháng Triệu VND,Từ 1 năm đến 5 năm Triệu VND,Trên 5 năm Triệu VND,Triệu VND,,,,,,,
-,Đến 3 tháng Triệu VND > -,-,-,1.521.561,-,-,-,-,1.521.561,,1521561.0,,,,,1521561.0
-,Đến 3 tháng Triệu VND > -,-,-,24.890.710,-,-,-,-,24.890.710,,24890710.0,,,,,24890710.0
-,Đến 3 tháng Triệu VND > -,-,-,15.019.248,7.911.600,5.054.269,-,-,27.985.117,,15019248.0,7911600.0,5054269.0,,,27985117.0
562.831,Đến 3 tháng Triệu VND > 562.831,562.831,1.250.410,5.666.817,15.817.633,52.111.433,60.555.589,65.712.067,201.676.780,1250410.0,5666817.0,15817633.0,52111433.0,60555589.0,65712067.0,201676780.0
-,Đến 3 tháng Triệu VND > -,-,-,500.223,4.369.256,27.573.937,9.820.021,2.493.457,44.756.894,,500223.0,4369256.0,27573937.0,9820021.0,2493457.0,44756894.0
-,Đến 3 tháng Triệu VND > -,-,-,-,-,-,-,169.719,169.719,,,,,,169719.0,169719.0
-,Đến 3 tháng Triệu VND > -,-,-,-,-,-,-,603.836,603.836,,,,,,603836.0,603836.0
-,Đến 3 tháng Triệu VND > -,-,-,2.597.227,2.838.949,5.022.148,-,-,10.458.324,,2597227.0,2838949.0,5022148.0,,,10458324.0
562.831,Đến 3 tháng Triệu VND > 562.831,562.831,1.250.410,50.195.786,30.937.438,89.761.787,70.375.610,68.979.079,312.062.941,1250410.0,50195786.0,30937438.0,89761787.0,70375610.0,68979079.0,312062941.0
-,Đến 3 tháng Triệu VND > -,-,-,31.210.159,16.227.529,9.496.408,7.522.362,12,64.456.470,,31210159.0,16227529.0,9496408.0,7522362.0,12.0,64456470.0
-,Đến 3 tháng Triệu VND > -,-,-,71.975.962,32.716.021,30.831.698,38.178.521,450,173.702.652,,71975962.0,32716021.0,30831698.0,38178521.0,450.0,173702652.0
-,Đến 3 tháng Triệu VND > -,-,-,63.933,-,-,-,-,63.933,,63933.0,,,,,63933.0
-,Đến 3 tháng Triệu VND > -,-,-,-,3.892,4.756,-,-,8.648,,,3892.0,4756.0,,,8648.0
-,Đến 3 tháng Triệu VND > -,-,-,578.293,2.234.000,7.989.500,28.316.389,3.180.000,42.298.182,,578293.0,2234000.0,7989500.0,28316389.0,3180000.0,42298182.0
-,Đến 3 tháng Triệu VND > -,-,-,2.551.963,-,2.259.231,-,-,4.811.194,,2551963.0,,2259231.0,,,4811194.0
-,Đến 3 tháng Triệu VND > -,-,-,106.380.310,51.181.442,50.581.593,74.017.272,3.180.462,285.341.079,,106380310.0,51181442.0,50581593.0,74017272.0,3180462.0,285341079.0
562.831,Đến 3 tháng Triệu VND > 562.831,562.831,1.250.410,(56.184.524),(20.244.004),39.180.194,(3.641.662),65.798.617,26.721.862,1250410.0,-56184524.0,-20244004.0,39180194.0,-3641662.0,65798617.0,26721862.0
