row_label_raw,row_label_full,Của khách hàng,31/12/2022Triệu VND,31/12/2021Triệu VND,numeric__31/12/2022Triệu VND,numeric__31/12/2021Triệu VND
Bất động sản,Bất động sản,Bất động sản,345.855.396,290.060.453,345855396.0,290060453.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,96.151.269,99.897.807,96151269.0,99897807.0
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,20.471.054,21.501.685,20471054.0,21501685.0
Quyền khai thác tài sản,Quyền khai thác tài sản,Quyền khai thác tài sản,17.108.188,19.598.755,17108188.0,19598755.0
Bảo lãnh,Bảo lãnh,Bảo lãnh,16.051.432,17.237.804,16051432.0,17237804.0
"Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá","Vàng, ngoại tệ, giấy tờ có giá",13.738.004,14.114.441,13738004.0,14114441.0
Hàng hóa lưu kho,Hàng hóa lưu kho,Hàng hóa lưu kho,13.918.966,11.753.034,13918966.0,11753034.0
Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,5.066.124,4.314.534,5066124.0,4314534.0
,,,528.360.433,478.478.513,528360433.0,478478513.0
Của các TCTD khác,Của các TCTD khác,Của các TCTD khác,31/12/2022Triệu VND,31/12/2021Triệu VND,,
Bảo lãnh,Của các TCTD khác > Bảo lãnh,Bảo lãnh,454.750,442.600,454750.0,442600.0
