row_label_raw,row_label_full,col_0,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,362.574,7.246,369.820,362574.0,7246.0,369820.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,212.902,-,212.902,212902.0,,212902.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,575.476,7.246,582.722,575476.0,7246.0,582722.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,227.179,7.199,234.378,227179.0,7199.0,234378.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,46.266,22,46.288,46266.0,22.0,46288.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,273.445,7.221,280.666,273445.0,7221.0,280666.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,135.395,47,135.442,135395.0,47.0,135442.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,302.031,25,302.056,302031.0,25.0,302056.0
