row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng(theo tỷ giá tại ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị của hợp đồng(theo tỷ giá tại ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi số kế toán(theo tỷ giá tại ngày lập báo cáo)
,,,Triệu VND,Tài sản/(Nợ phải trả)Triệu VND,,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,2.602.907,48.553,2602907.0,48553.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,25.342.433,(28.595),25342433.0,-28595.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2022 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,708.500,1.000,708500.0,1000.0
,,,28.653.840,20.958,28653840.0,20958.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2021 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,644.352,8.063,644352.0,8063.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2021 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,27.158.395,(70.456),27158395.0,-70456.0
Giao dịch hoán đổi lãi suất,Tại ngày 31 tháng 12 năm 2021 > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,2.308.380,(1.540),2308380.0,-1540.0
,,,30.111.127,(63.933),30111127.0,-63933.0
