row_label_raw,row_label_full,Chl iteu,Young 6nhluong Ky han,Tong han,Tong han_1,Tong han_2,Tong han_3,Tong han_4,Tong han_5,numeric__Young 6nhluong Ky han,numeric__Tong han,numeric__Tong han_1,numeric__Tong han_2,numeric__Tong han_3,numeric__Tong han_4,numeric__Tong han_5
Chl iteu,Chl iteu,Chl iteu,Young 6nhluong Ky han,Den 1 thang,Ty 1 - 3 thang,Ty 3 - 12 thang,Ty 1 - 5 nhm,Tren 5 nhm,Tong,,,,,,,
"Tien mat, vanag bac, da guy","Chl iteu > Tien mat, vanag bac, da guy","Tien mat, vanag bac, da guy",200.313,-,-,-,-,-,200.313,200313.0,,,,,,200313.0
Tien gori tai rengan hang Nha nuoc,Chl iteu > Tien gori tai rengan hang Nha nuoc,Tien gori tai rengan hang Nha nuoc,-,473.922,-,-,-,-,473.922,,473922.0,,,,,473922.0
Ching khoan kinh doanh (*),Chl iteu > Ching khoan kinh doanh (*),Ching khoan kinh doanh (*),-,1.882.755,-,-,-,-,1.882.755,,1882755.0,,,,,1882755.0
Cac cong cui tai chinh phat sinh ya cac tai san tai chinh khaic (*),Chl iteu > Cac cong cui tai chinh phat sinh ya cac tai san tai chinh khaic (*),Cac cong cui tai chinh phat sinh ya cac tai san tai chinh khaic (*),-,1.105.275,1.669.831,6.728.044,1.887.799,1.142.693,12.533.642,,1105275.0,1669831.0,6728044.0,1887799.0,1142693.0,12533642.0
Cho vay khaich hng (*),Cho vay khaich hng (*),Cho vay khaich hng (*),-,-,-,-,-,-,-,,,,,,,
Ching khoan dau tu (*),Cho vay khaich hng (*) > Ching khoan dau tu (*),Ching khoan dau tu (*),-,50.000,50.140,550.070,2.025.662,-,2.675.872,,50000.0,50140.0,550070.0,2025662.0,,2675872.0
"Gop von, dai tu dai han (*)","Cho vay khaich hng (*) > Gop von, dai tu dai han (*)","Gop von, dai tu dai han (*)",-,-,-,-,-,738.158,738.158,,,,,,738158.0,738158.0
Tai san cd dinh va Bai dong san dau tu,Cho vay khaich hng (*) > Tai san cd dinh va Bai dong san dau tu,Tai san cd dinh va Bai dong san dau tu,-,-,-,-,-,958.367,958.367,,,,,,958367.0,958367.0
Tai san cd dinh va Bai dong san dau tu,Tai san cd dinh va Bai dong san dau tu,Tai san cd dinh va Bai dong san dau tu,-,-,-,-,-,-,-,,,,,,,
Tian giri cuiak hach hang,Tai san cd dinh va Bai dong san dau tu > Tian giri cuiak hach hang,Tian giri cuiak hach hang,-,6.668.417,3.642.483,4.009.057,460.589,,14.780.546,,6668417.0,3642483.0,4009057.0,460589.0,,14780546.0
Tien giri cuiak hach hang,Tai san cd dinh va Bai dong san dau tu > Tien giri cuiak hach hang,Tien giri cuiak hach hang,-,922.996,110.795,-,-,-,1.033.791,,922996.0,110795.0,,,,1033791.0
Tien giri cuiak va vay tiR NHNN va cac TCITD khaic,Tien giri cuiak va vay tiR NHNN va cac TCITD khaic,Tien giri cuiak va vay tiR NHNN va cac TCITD khaic,-,-,-,-,-,-,-,,,,,,,
Nyg phai tra,Nyg phai tra,Nyg phai tra,-,-,-,-,-,-,-,,,,,,,
Tien giri cuiak hach hang,Tien giri cuiak hach hang,Tien giri cuiak hach hang,-,-,-,-,-,-,-,,,,,,,
Cac khoan ny khaic,Tien giri cuiak hach hang > Cac khoan ny khaic,Cac khoan ny khaic,-,329.260,-,-,-,-,329.260,,329260.0,,,,,329260.0
"Von tai trg, uy thai dau tiR, cho vay TCITD chihi riti ro","Tien giri cuiak hach hang > Von tai trg, uy thai dau tiR, cho vay TCITD chihi riti ro","Von tai trg, uy thai dau tiR, cho vay TCITD chihi riti ro",-,-,-,-,-,-,16.143.597,,,,,,,16143597.0
Tong Ng phai tera,Tien giri cuiak hach hang > Tong Ng phai tera,Tong Ng phai tera,-,7920.673,3.753.278,4.009.057,460.589,-,-,,7920673.0,3753278.0,4009057.0,460589.0,,
Mve chenh tanah khoan ring,Tien giri cuiak hach hang > Mve chenh tanah khoan ring,Mve chenh tanah khoan ring,786.084,(4.408.721),(2.033.307),3.269.057,3.452.872,2.839.218,3.905.203,786084.0,-4408721.0,-2033307.0,3269057.0,3452872.0,2839218.0,3905203.0
