row_label_raw,row_label_full,Chl tieu,Khong chiu lai,Dein 1 ttinge,Tw 1 dcn 3 ttinge,Tw 3 dcn 6 ttinge,Tw 6 dcn 12 ttinge,Tw 1 dcn 5 ttinge,Tren 5 sbm,Tong,numeric__Khong chiu lai,numeric__Dein 1 ttinge,numeric__Tw 1 dcn 3 ttinge,numeric__Tw 3 dcn 6 ttinge,numeric__Tw 6 dcn 12 ttinge,numeric__Tw 1 dcn 5 ttinge,numeric__Tren 5 sbm,numeric__Tong
"Tltn mai, vang bao, da guy","Tltn mai, vang bao, da guy","Tltn mai, vang bao, da guy",200.313,,-,-,-,-,-,200.313,200313.0,,,,,,,200313.0
Tltn gvt tai ngean hang Nha nutc,Tltn gvt tai ngean hang Nha nutc,Tltn gvt tai ngean hang Nha nutc,-,473.922,-,-,-,-,-,473.922,,473922.0,,,,,,473922.0
"Tltn, vang gvt ga iya cho yay cac TCITD khaic (*)","Tltn, vang gvt ga iya cho yay cac TCITD khaic (*)","Tltn, vang gvt ga iya cho yay cac TCITD khaic (*)",-,1.882.755,,,,-,-,1.882.755,,1882755.0,,,,,,1882755.0
Ching khuan kinh doanh (*),Ching khuan kinh doanh (*),Ching khuan kinh doanh (*),-,-,-,-,-,-,-,-,,,,,,,,
Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*),Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*),Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*),-,-,-,-,-,-,-,-,,,,,,,,
Cho vay khach hang (*),Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*) > Cho vay khach hang (*),Cho vay khach hang (*),-,484.199,132.328,257.179,5.320.114,4.240.280,2.099.542,12.533.642,,484199.0,132328.0,257179.0,5320114.0,4240280.0,2099542.0,12533642.0
Ching khuan dau tu (*),Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*) > Ching khuan dau tu (*),Ching khuan dau tu (*),-,-,-,-,2.675.872,-,2.675.872,-,,,,,2675872.0,,2675872.0,
"Gop vun, dau tu dai han (*)","Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*) > Gop vun, dau tu dai han (*)","Gop vun, dau tu dai han (*)",-,-,-,-,-,-,738.158,738.158,,,,,,,738158.0,738158.0
Tal san cd dinh va Baf dong san dau tu,Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*) > Tal san cd dinh va Baf dong san dau tu,Tal san cd dinh va Baf dong san dau tu,-,-,-,-,-,-,958.367,958.367,,,,,,,958367.0,958367.0
Tal san cd dinh va Baf dong san dau tu,Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*) > Tal san cd dinh va Baf dong san dau tu,Tal san cd dinh va Baf dong san dau tu,-,-,-,-,-,-,958.367,958.367,,,,,,,958367.0,958367.0
585.771,Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*) > 585.771,585.771,-,-,-,-,-,-,-,585.771,,,,,,,,585771.0
Tong Tali san,Cac ccong cui tai chihh phai sinh va cac eil sain tai chihh khaic (*) > Tong Tali san,Tong Tali san,786.084,2.840.876,132.328,257.179,5.320.114,6.916.152,3.796.067,20.048.800,786084.0,2840876.0,132328.0,257179.0,5320114.0,6916152.0,3796067.0,20048800.0
Np phai tra,Np phai tra,Np phai tra,,,,,,,,,,,,,,,,
Tltn gvt cua khaech hang,Np phai tra > Tltn gvt cua khaech hang,Tltn gvt cua khaech hang,-,5.373.131,2.814.287,1.599.703,21.439,4.971.986,,14.780.546,,5373131.0,2814287.0,1599703.0,21439.0,4971986.0,,14780546.0
Cac chang cu tlai chihh phai sinh va cac khoan ny tai chihh khaic,Cac chang cu tlai chihh phai sinh va cac khoan ny tai chihh khaic,Cac chang cu tlai chihh phai sinh va cac khoan ny tai chihh khaic,-,-,-,-,-,-,-,-,,,,,,,,
Cac khoan ny khaic,Cac chang cu tlai chihh phai sinh va cac khoan ny tai chihh khaic > Cac khoan ny khaic,Cac khoan ny khaic,-,329.260,-,-,-,-,-,329.260,,329260.0,,,,,,329260.0
Tong Ny phai tra,Cac chang cu tlai chihh phai sinh va cac khoan ny tai chihh khaic > Tong Ny phai tra,Tong Ny phai tra,-,6.512.592,3.037.877,1.599.703,21.439,4.971.986,-,16.143.597,,6512592.0,3037877.0,1599703.0,21439.0,4971986.0,,16143597.0
Mice chenh lich nhay cam vctl lai sutat ngtI bhang,Cac chang cu tlai chihh phai sinh va cac khoan ny tai chihh khaic > Mice chenh lich nhay cam vctl lai sutat ngtI bhang,Mice chenh lich nhay cam vctl lai sutat ngtI bhang,786.084,(3.671.716),(2.905.549),(1.342.524),5.298.675,1.944.166,3.796.067,3.905.203,786084.0,-3671716.0,-2905549.0,-1342524.0,5298675.0,1944166.0,3796067.0,3905203.0
Cac can ket ngqal bang co tc dcngg toti mntc dg nhay cam vctl lai sutat cca cai tai san va cngg ny (rong),Cac chang cu tlai chihh phai sinh va cac khoan ny tai chihh khaic > Cac can ket ngqal bang co tc dcngg toti mntc dg nhay cam vctl lai sutat cca cai tai san va cngg ny (rong),Cac can ket ngqal bang co tc dcngg toti mntc dg nhay cam vctl lai sutat cca cai tai san va cngg ny (rong),(278.084),-,-,-,-,-,-,(278.084),-278084.0,,,,,,,-278084.0
Mice chenh lich nhay cam vctl lai sutat ngtI bhang,Cac chang cu tlai chihh phai sinh va cac khoan ny tai chihh khaic > Mice chenh lich nhay cam vctl lai sutat ngtI bhang,Mice chenh lich nhay cam vctl lai sutat ngtI bhang,508.000,(3.671.716),(2.905.549),(1.342.524),5.298.675,1.944.166,3.796.067,3.627.119,508000.0,-3671716.0,-2905549.0,-1342524.0,5298675.0,1944166.0,3796067.0,3627119.0
