row_label_raw,row_label_full,Nguyen gia TSCD thu hinh,Nguyen gia TSCD thu hinh_1,Nguyen gia TSCD thu hinh_2,Nguyen gia TSCD thu hinh_3,Nguyen gia TSCD thu hinh_4,Nguyen gia TSCD thu hinh_5,Nguyen gia TSCD thu hinh_6,Nguyen gia TSCD thu hinh_7,numeric__Nguyen gia TSCD thu hinh_1,numeric__Nguyen gia TSCD thu hinh_2,numeric__Nguyen gia TSCD thu hinh_3,numeric__Nguyen gia TSCD thu hinh_4,numeric__Nguyen gia TSCD thu hinh_5,numeric__Nguyen gia TSCD thu hinh_6,numeric__Nguyen gia TSCD thu hinh_7
Sd dur daju nam,Sd dur daju nam,Sd dur daju nam,692.522,61.749,48.433,35.966,9.353,848.023,Tong cing,692522.0,61749.0,48433.0,35966.0,9353.0,848023.0,
-Muha trong nam,-Muha trong nam,-Muha trong nam,28.962,980,761,976,606,32.285,,28962.0,980.0,761.0,976.0,606.0,32285.0,
-Tang do dile chuyén,-Tang do dile chuyén,-Tang do dile chuyén,-,-,556,-,-,556,,,,556.0,,,556.0,
"-Thanh IY, nhuong ben","-Thanh IY, nhuong ben","-Thanh IY, nhuong ben",-,-,(839),(75),-,(914),,,,-839.0,-75.0,,-914.0,
-Giam do dile chuyén,-Giam do dile chuyén,-Giam do dile chuyén,-,-,(556),-,-,(556),,,,-556.0,,,-556.0,
-Giam do dile chuyén,-Giam do dile chuyén,-Giam do dile chuyén,-,-,(174),(13),(481),(668),,,,-174.0,-13.0,-481.0,-668.0,
Sd dur cuoli nam,Sd dur cuoli nam,Sd dur cuoli nam,721.484,62.999,48.355,36.480,10.076,879.394,,721484.0,62999.0,48355.0,36480.0,10076.0,879394.0,
Gia tri hao moon Ity ke,Gia tri hao moon Ity ke,Gia tri hao moon Ity ke,,,,,,,,,,,,,,
Sd dur daju nam,Gia tri hao moon Ity ke > Sd dur daju nam,Sd dur daju nam,139.290,53.862,37.401,16.280,8.066,254.899,,139290.0,53862.0,37401.0,16280.0,8066.0,254899.0,
-Hao moin trong nam,Gia tri hao moon Ity ke > -Hao moin trong nam,-Hao moin trong nam,27.508,3.612,2.741,3.134,692,37.687,,27508.0,3612.0,2741.0,3134.0,692.0,37687.0,
-Tang do dile chuyén,Gia tri hao moon Ity ke > -Tang do dile chuyén,-Tang do dile chuyén,-,-,556,-,-,556,,,,556.0,,,556.0,
"-Thanh IY, nhuong ben","Gia tri hao moon Ity ke > -Thanh IY, nhuong ben","-Thanh IY, nhuong ben",-,-,307,30,44,448,,,,307.0,30.0,44.0,448.0,
-Tang do dile chuiyén,Gia tri hao moon Ity ke > -Tang do dile chuiyén,-Tang do dile chuiyén,-,-,(839),(75),-,(914),,,,-839.0,-75.0,,-914.0,
-Giam do dile chuyén,Gia tri hao moon Ity ke > -Giam do dile chuyén,-Giam do dile chuyén,-,-,(556),-,-,(556),,,,-556.0,,,-556.0,
-Giam do dile chuyén,Gia tri hao moon Ity ke > -Giam do dile chuyén,-Giam do dile chuyén,-,-,(556),-,-,(556),,,,-556.0,,,-556.0,
-Giam do dile chuiyén,Gia tri hao moon Ity ke > -Giam do dile chuiyén,-Giam do dile chuiyén,-,-,(111),(30),(294),(48),,,,-111.0,-30.0,-294.0,-48.0,
-Sing do dile chuih,Gia tri hao moon Ity ke > -Sing do dile chuih,-Sing do dile chuih,(4),(111),(30),(294),(9),(448),,-4.0,-111.0,-30.0,-294.0,-9.0,-448.0,
Sd dur cuoli nam,Gia tri hao moon Ity ke > Sd dur cuoli nam,Sd dur cuoli nam,166.798,57.670,39.303,19.108,8.793,291.672,,166798.0,57670.0,39303.0,19108.0,8793.0,291672.0,
Sd dur daju nam,Gia tri hao moon Ity ke > Sd dur daju nam,Sd dur daju nam,553.232,7.887,11.032,19.686,1.287,593.124,,553232.0,7887.0,11032.0,19686.0,1287.0,593124.0,
Sd dur cuoli nam,Gia tri hao moon Ity ke > Sd dur cuoli nam,Sd dur cuoli nam,554.686,5.329,9.052,17.372,1.283,587.722,,554686.0,5329.0,9052.0,17372.0,1283.0,587722.0,
Sd dur cuoli nam,Gia tri hao moon Ity ke > Sd dur cuoli nam,Sd dur cuoli nam,553.232,554.686,5.329,9.052,17.372,587.722,,553232.0,554686.0,5329.0,9052.0,17372.0,587722.0,
