row_label_raw,row_label_full,Năm nay > Số dư đầu năm > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm) > Sử dụng dự phòng rủi ro tín dụng trong năm,Dự phòng chung > 81.136 > 8.370 > -,Dự phòng cụ thể > 10.701 > 86.090 > (83.516),numeric__Dự phòng chung > 81.136 > 8.370 > -,numeric__Dự phòng cụ thể > 10.701 > 86.090 > (83.516)
Số dư cuối kỳ,Số dư cuối kỳ,Số dư cuối kỳ,89.506,13.275,89506.0,13275.0
Năm trước,Năm trước,Năm trước,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,81.861,11.041,81861.0,11041.0
Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Năm trước > Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),Dự phòng rủi ro trích lập trong năm /(Hoàn nhập trong năm),(725),76.916,-725.0,76916.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm trước > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,(77.256),,-77256.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,81.136,10.701,81136.0,10701.0
Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,Chi tiết số dư dự phòng,31/12/2016,31/12/2015,,
Dự phòng rủi ro cho vay khách hàng,Chi tiết số dư dự phòng > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,102.781,91.837,102781.0,91837.0
+ Dự phòng chung,Chi tiết số dư dự phòng > + Dự phòng chung,+ Dự phòng chung,89.506,81.136,89506.0,81136.0
+ Dự phòng cụ thể,Chi tiết số dư dự phòng > + Dự phòng cụ thể,+ Dự phòng cụ thể,13.275,10.701,13275.0,10701.0
Cộng,Chi tiết số dư dự phòng > Cộng,Cộng,102.781,91.837,102781.0,91837.0
