row_label_raw,row_label_full,Chitieu,Kheung chiu lai,Đen I thang,Tiv I dhen 3 sharing,Tiv 3 dhen 6 sharing,Tiv 6 dhen 12 sharing,Tiv I dhen 5 nasm,Trén 5 nasm,Töng,numeric__Kheung chiu lai,numeric__Đen I thang,numeric__Tiv I dhen 3 sharing,numeric__Tiv 3 dhen 6 sharing,numeric__Tiv 6 dhen 12 sharing,numeric__Tiv I dhen 5 nasm,numeric__Trén 5 nasm,numeric__Töng
"Titien mari, vang bac, da guy","Titien mari, vang bac, da guy","Titien mari, vang bac, da guy",190.866,,-,-,-,-,-,190.866,190866.0,,,,,,,190866.0
Titien gori tai negan hanga Nha nutc,Titien gori tai negan hanga Nha nutc,Titien gori tai negan hanga Nha nutc,-,477.364,-,-,-,-,-,477.364,,477364.0,,,,,,477364.0
Chung khoan kinh doanh (*),Chung khoan kinh doanh (*),Chung khoan kinh doanh (*),-,1.370.540,-,-,-,-,-,1.370.540,,1370540.0,,,,,,1370540.0
Cac cang cu tai cinnh phat sihvi va cac tai sain tai chinh khaic (*),Cac cang cu tai cinnh phat sihvi va cac tai sain tai chinh khaic (*),Cac cang cu tai cinnh phat sihvi va cac tai sain tai chinh khaic (*),-,3.068,-,-,-,-,-,3.068,,3068.0,,,,,,3068.0
Cho vay khaich hanga (*),Cho vay khaich hanga (*),Cho vay khaich hanga (*),-,451.136,115.346,175.652,2.232.791,6.459.429,2.177.664,11.612.018,,451136.0,115346.0,175652.0,2232791.0,6459429.0,2177664.0,11612018.0
Chung khoan dau tu (*),Chung khoan dau tu (*),Chung khoan dau tu (*),-,3.068,-,-,-,-,-,3.068,,3068.0,,,,,,3068.0
"Gop vun, dau tu dai han (*)","Gop vun, dau tu dai han (*)","Gop vun, dau tu dai han (*)",-,-,-,-,-,-,730.779,730.779,,,,,,,730779.0,730779.0
Tal san co dinhva Bat dong san dau tu,Tal san co dinhva Bat dong san dau tu,Tal san co dinhva Bat dong san dau tu,-,-,-,-,-,-,947.693,947.693,,,,,,,947693.0,947693.0
Tal san co dinhva Bat dong san dau tu,Tal san co dinhva Bat dong san dau tu,Tal san co dinhva Bat dong san dau tu,-,-,-,-,-,-,947.693,947.693,,,,,,,947693.0,947693.0
Tang Tii san,Tang Tii san,Tang Tii san,782.621,2.302.108,115.346,175.652,2.232.791,9.212.161,3.876.136,18.696.815,782621.0,2302108.0,115346.0,175652.0,2232791.0,9212161.0,3876136.0,18696815.0
Tin jint cua khaich hanga,Tin jint cua khaich hanga,Tin jint cua khaich hanga,-,5.066.871,2.243.871,1.245.872,54.309,5.143.027,,13.753.950,,5066871.0,2243871.0,1245872.0,54309.0,5143027.0,,13753950.0
Cac cong cu tai cinnh phat sihvi va cac khoan ny tai chinh khaic,Cac cong cu tai cinnh phat sihvi va cac khoan ny tai chinh khaic,Cac cong cu tai cinnh phat sihvi va cac khoan ny tai chinh khaic,-,-,-,-,-,-,-,-,,,,,,,,
"Von tai ti roy, yt haoe dalu tu, cho vay TCITD chiul rui to","Von tai ti roy, yt haoe dalu tu, cho vay TCITD chiul rui to","Von tai ti roy, yt haoe dalu tu, cho vay TCITD chiul rui to",-,-,-,-,-,-,-,-,,,,,,,,
Phat hahn giiry to co gila,Phat hahn giiry to co gila,Phat hahn giiry to co gila,-,-,-,-,-,-,-,-,,,,,,,,
Cac khoan ny khaic,Phat hahn giiry to co gila > Cac khoan ny khaic,Cac khoan ny khaic,-,269.090,-,-,-,-,-,269.090,,269090.0,,,,,,269090.0
Mirc chenh léch nhagy cam votl lai sutat ngi banging,Phat hahn giiry to co gila > Mirc chenh léch nhagy cam votl lai sutat ngi banging,Mirc chenh léch nhagy cam votl lai sutat ngi banging,782.621,(3.826.394),(2.281.755),(1.070.220),2.178.482,4.069.134,3.876.136,3.728.004,782621.0,-3826394.0,-2281755.0,-1070220.0,2178482.0,4069134.0,3876136.0,3728004.0
Cac can ket ngogai bāng co tic dchrng toti mnc of nhagy cam votl lai sutat cua cao tai san ya cang ny (trong),Phat hahn giiry to co gila > Cac can ket ngogai bāng co tic dchrng toti mnc of nhagy cam votl lai sutat cua cao tai san ya cang ny (trong),Cac can ket ngogai bāng co tic dchrng toti mnc of nhagy cam votl lai sutat cua cao tai san ya cang ny (trong),(255.380),-,-,-,-,-,-,(255.380),-255380.0,,,,,,,-255380.0
Mirc chenh léch nhagy cam votl lai sutat ngi banging,Phat hahn giiry to co gila > Mirc chenh léch nhagy cam votl lai sutat ngi banging,Mirc chenh léch nhagy cam votl lai sutat ngi banging,527.241,(3.826.394),(2.281.755),(1.070.220),2.178.482,4.069.134,3.876.136,3.472.624,527241.0,-3826394.0,-2281755.0,-1070220.0,2178482.0,4069134.0,3876136.0,3472624.0
