row_label_raw,row_label_full,10. Tai san co dinh hty hlnh,10. Tai san co dinh hty hlnh_1,10. Tai san co dinh hty hlnh_2,10. Tai san co dinh hty hlnh_3,10. Tai san co dinh hty hlnh_4,10. Tai san co dinh hty hlnh_5,10. Tai san co dinh hty hlnh_6,numeric__10. Tai san co dinh hty hlnh_1,numeric__10. Tai san co dinh hty hlnh_2,numeric__10. Tai san co dinh hty hlnh_3,numeric__10. Tai san co dinh hty hlnh_4,numeric__10. Tai san co dinh hty hlnh_5,numeric__10. Tai san co dinh hty hlnh_6
Khoan muc,Khoan muc,Khoan muc,"Nha cna,vat kien truc",May moc thiet bi,Phuong tien vān tai truyen dan,Thiet bi dùng cu quan ly,Tai san co dinh khae,Tong chng,,,,,,
- Tang giam tai san co dinh hty hlnh nam 2016:,- Tang giam tai san co dinh hty hlnh nam 2016:,- Tang giam tai san co dinh hty hlnh nam 2016:,- Tang giam tai san co dinh hty hlnh nam 2016:,- Tang giam tai san co dinh hty hlnh nam 2016:,- Tang giam tai san co dinh hty hlnh nam 2016:,- Tang giam tai san co dinh hty hlnh nam 2016:,- Tang giam tai san co dinh hty hlnh nam 2016:,- Tang giam tai san co dinh hty hlnh nam 2016:,,,,,,
Sd dur dau nam,- Tang giam tai san co dinh hty hlnh nam 2016: > Sd dur dau nam,Sd dur dau nam,721.484,62.999,48.355,36.480,10.076,879.394,721484.0,62999.0,48355.0,36480.0,10076.0,879394.0
- Mua trong nam,- Tang giam tai san co dinh hty hlnh nam 2016: > - Mua trong nam,- Mua trong nam,48.214,6.687,2.784,438,1.316,59.439,48214.0,6687.0,2784.0,438.0,1316.0,59439.0
- Tang do dieu chuyén,- Tang giam tai san co dinh hty hlnh nam 2016: > - Tang do dieu chuyén,- Tang do dieu chuyén,-,91,1.633,-,-,1.724,,91.0,1633.0,,,1724.0
- Tang do dieu chilth,- Tang giam tai san co dinh hty hlnh nam 2016: > - Tang do dieu chilth,- Tang do dieu chilth,-,393,-,8,12,413,,393.0,,8.0,12.0,413.0
"- Thanh ly, nhuong ban","- Tang giam tai san co dinh hty hlnh nam 2016: > - Thanh ly, nhuong ban","- Thanh ly, nhuong ban",(35),(606),(650),(34),(236),(1.561),-35.0,-606.0,-650.0,-34.0,-236.0,-1561.0
- Giam do dieu chuyén,- Tang giam tai san co dinh hty hlnh nam 2016: > - Giam do dieu chuyén,- Giam do dieu chuyén,(12.591),(395),-,(10),(12),(13.008),-12591.0,-395.0,,-10.0,-12.0,-13008.0
- Giam do dieu chilth,- Tang giam tai san co dinh hty hlnh nam 2016: > - Giam do dieu chilth,- Giam do dieu chilth,(12.591),(395),-,(10),(12),(13.008),-12591.0,-395.0,,-10.0,-12.0,-13008.0
Sd dur cursi nam,- Tang giam tai san co dinh hty hlnh nam 2016: > Sd dur cursi nam,Sd dur cursi nam,757.072,69.169,50.489,36.791,11.156,924.677,757072.0,69169.0,50489.0,36791.0,11156.0,924677.0
Gia tri hao mon lny ke,Gia tri hao mon lny ke,Gia tri hao mon lny ke,Gia tri hao mon lny ke,Gia tri hao mon lny ke,Gia tri hao mon lny ke,Gia tri hao mon lny ke,Gia tri hao mon lny ke,Gia tri hao mon lny ke,,,,,,
Sd dur dau nam,Gia tri hao mon lny ke > Sd dur dau nam,Sd dur dau nam,166.798,57.670,39.303,19.108,8.793,291.672,166798.0,57670.0,39303.0,19108.0,8793.0,291672.0
- Hao mon trong nam,Gia tri hao mon lny ke > - Hao mon trong nam,- Hao mon trong nam,28.511,2.806,2.532,3.099,639,37.587,28511.0,2806.0,2532.0,3099.0,639.0,37587.0
- Tang do dieu chuyén,Gia tri hao mon lny ke > - Tang do dieu chuyén,- Tang do dieu chuyén,-,91,1.633,-,-,1.724,,91.0,1633.0,,,1724.0
"- Thanh ly, nhuong ban","Gia tri hao mon lny ke > - Thanh ly, nhuong ban","- Thanh ly, nhuong ban",(3),(606),(650),-,(236),(1.495),-3.0,-606.0,-650.0,,-236.0,-1495.0
- Giam do dieu chuyén,Gia tri hao mon lny ke > - Giam do dieu chuyén,- Giam do dieu chuyén,-,-,(1.633),(91),-,(1.724),,,-1633.0,-91.0,,-1724.0
- Tang do dieu chilth,Gia tri hao mon lny ke > - Tang do dieu chilth,- Tang do dieu chilth,3,21,10,66,9,109,3.0,21.0,10.0,66.0,9.0,109.0
"- Thanh ly, nhuong ban","Gia tri hao mon lny ke > - Thanh ly, nhuong ban","- Thanh ly, nhuong ban",(3),(606),(650),-,(236),(1.495),-3.0,-606.0,-650.0,,-236.0,-1495.0
