row_label_raw,row_label_full,Ten,31/12/2016,31/12/2016_1,31/12/2016_2,31/12/2015,31/12/2015_1,31/12/2015_2,numeric__31/12/2016,numeric__31/12/2016_1,numeric__31/12/2016_2,numeric__31/12/2015,numeric__31/12/2015_1,numeric__31/12/2015_2
Dau tu vao cng ty con,Dau tu vao cng ty con,Dau tu vao cng ty con,612.503,612.503,"100,00%",612.503,612.503,"100,00%",612503.0,612503.0,1.0,612503.0,612503.0,1.0
Cong ty Quan Iy No yv Kahti thač Tali sian,Cong ty Quan Iy No yv Kahti thač Tali sian,Cong ty Quan Iy No yv Kahti thač Tali sian,612.503,612.503,"100,00%",612.503,612.503,"100,00%",612503.0,612503.0,1.0,612503.0,612503.0,1.0
Dau tu dali han kahe,Dau tu dali han kahe,Dau tu dali han kahe,125.655,125.655,,118.276,118.276,,125655.0,125655.0,,118276.0,118276.0,
Dau tu vao csc TCDD,Dau tu vao csc TCDD,Dau tu vao csc TCDD,71.776,71.776,"2,48%",71.776,71.776,"2,48%",71776.0,71776.0,0.0248,71776.0,71776.0,0.0248
Dau tu vao doanh mghijep khaic,Dau tu vao doanh mghijep khaic,Dau tu vao doanh mghijep khaic,18.379,18.379,"10,98%",11.000,11.000,"11,00%",18379.0,18379.0,0.10980000000000001,11000.0,11000.0,0.11
Cty CP Khaech san Siš Gcon Ha Long,Cty CP Khaech san Siš Gcon Ha Long,Cty CP Khaech san Siš Gcon Ha Long,2.000,2.000,"0,64%",2.000,2.000,"1,05%",2000.0,2000.0,0.0064,2000.0,2000.0,0.0105
Cong ty Chuyen machi Tai chiho Qubic Gia,Cong ty Chuyen machi Tai chiho Qubic Gia,Cong ty Chuyen machi Tai chiho Qubic Gia,33.000,33.000,"11,00%",33.000,33.000,"11,00%",33000.0,33000.0,0.11,33000.0,33000.0,0.11
Quy BL Tin dung cita Doanh mghijep vira ya ndo,Quy BL Tin dung cita Doanh mghijep vira ya ndo,Quy BL Tin dung cita Doanh mghijep vira ya ndo,500,500,"0,22%",500,500,"0,22%",500.0,500.0,0.0022,500.0,500.0,0.0022
Duy phoning giam gis dau tu ching khoan dai han,Duy phoning giam gis dau tu ching khoan dai han,Duy phoning giam gis dau tu ching khoan dai han,-,(1.824),,-,(940),,,-1824.0,,,-940.0,
Cong ty CP Ching khoan Saigonbank Berjaya,Cong ty CP Ching khoan Saigonbank Berjaya,Cong ty CP Ching khoan Saigonbank Berjaya,738.158,736.334,,730.779,729.839,,738158.0,736334.0,,730779.0,729839.0,
