row_label_raw,row_label_full,Chin feu,Young han,Young han_1,Young han_2,Young han_3,Young han_4,Young han_5,Tong han,numeric__Young han,numeric__Young han_1,numeric__Young han_2,numeric__Young han_3,numeric__Young han_4,numeric__Young han_5,numeric__Tong han
Chin feu,Chin feu,Chin feu,Đen 1 thang,TV 1 - 3 thang,TV 3 - 12 thang,TV 1 - 5 nam,Tren 5 nam,Tong,,,,,,,,
"Titin mat, vang bao, da guy","Chin feu > Titin mat, vang bao, da guy","Titin mat, vang bao, da guy",190.866,-,-,-,-,190.866,,190866.0,,,,,190866.0,
Titin got tai negan hang Nha nuoc,Chin feu > Titin got tai negan hang Nha nuoc,Titin got tai negan hang Nha nuoc,-,477.364,-,-,-,477.364,,,477364.0,,,,477364.0,
"Titin, vang got tai va cho vay cac TCDT Khaic (*)","Chin feu > Titin, vang got tai va cho vay cac TCDT Khaic (*)","Titin, vang got tai va cho vay cac TCDT Khaic (*)",-,1.370.540,-,-,-,1.370.540,,,1370540.0,,,,1370540.0,
Ching khoan kinh doanh (*),Ching khoan kinh doanh (*),Ching khoan kinh doanh (*),-,-,-,-,-,-,,,,,,,,
Cac cang cui tai chinh phti sinh va cac tai sain tai chinh khaic (*),Ching khoan kinh doanh (*) > Cac cang cui tai chinh phti sinh va cac tai sain tai chinh khaic (*),Cac cang cui tai chinh phti sinh va cac tai sain tai chinh khaic (*),-,3.068,-,-,-,3.068,,,3068.0,,,,3068.0,
Cho vay khat hang (*),Ching khoan kinh doanh (*) > Cho vay khat hang (*),Cho vay khat hang (*),-,1.022.993,1.487.065,6.080.919,1.861.329,11.612.017,,,1022993.0,1487065.0,6080919.0,1861329.0,11612017.0,
Ching khoan dau tur (*),Ching khoan kinh doanh (*) > Ching khoan dau tur (*),Ching khoan dau tur (*),-,50.000,262.910,2.459.822,-,2.772.732,,,50000.0,262910.0,2459822.0,,2772732.0,
"Gop von, dau tu dai han (*)","Ching khoan kinh doanh (*) > Gop von, dau tu dai han (*)","Gop von, dau tu dai han (*)",-,-,-,-,730.779,730.779,,,,,,730779.0,730779.0,
Tal san c6 Khaic (*),Ching khoan kinh doanh (*) > Tal san c6 Khaic (*),Tal san c6 Khaic (*),591.755,-,-,-,-,591.755,,591755.0,,,,,591755.0,
Tong Tai san,Ching khoan kinh doanh (*) > Tong Tai san,Tong Tai san,782.621,2.873.965,1.537.065,6.343.829,4.321.151,2.838.183,18.696.814,782621.0,2873965.0,1537065.0,6343829.0,4321151.0,2838183.0,18696814.0
Np phai tra,Np phai tra,Np phai tra,,,,-,-,-,,,,,,,,
Cac cong cu tai chinh phti sinh va cac khoan no tai chinh khaic,Np phai tra > Cac cong cu tai chinh phti sinh va cac khoan no tai chinh khaic,Cac cong cu tai chinh phti sinh va cac khoan no tai chinh khaic,-,880.101,65.670,-,-,-,945.771,,880101.0,65670.0,,,,945771.0
"Vcon tai troy, uy thac dau tu, cho vay TCDT chiu rui ro","Vcon tai troy, uy thac dau tu, cho vay TCDT chiu rui ro","Vcon tai troy, uy thac dau tu, cho vay TCDT chiu rui ro",-,-,-,-,-,-,-,,,,,,,
Phat hahh giigy to co gila,Phat hahh giigy to co gila,Phat hahh giigy to co gila,-,-,-,-,-,-,-,,,,,,,
Cac khoan no khaic,Phat hahh giigy to co gila > Cac khoan no khaic,Cac khoan no khaic,-,269.090,-,-,-,-,269.090,,269090.0,,,,,269090.0
Tong Ny phai tra,Phat hahh giigy to co gila > Tong Ny phai tra,Tong Ny phai tra,-,7.072.599,2.977.350,3.435.719,1.483.143,-,14.968.811,,7072599.0,2977350.0,3435719.0,1483143.0,,14968811.0
Mtec chenth thanh khoan ring,Phat hahh giigy to co gila > Mtec chenth thanh khoan ring,Mtec chenth thanh khoan ring,782.621,(4.198.634),(1.440.285),2.908.110,2.838.008,2.838.183,3.728.003,782621.0,-4198634.0,-1440285.0,2908110.0,2838008.0,2838183.0,3728003.0
