row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,"Phương tiện vậntải, thiết bị truyềnđẫn",Thiết bịvăn phòng,Tài sản cố địnhhửu hình khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,"numeric__Phương tiện vậntải, thiết bị truyềnđẫn",numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.505.794.793.575,38.931.704.956.721,212.016.273.735,610.628.968.664,740.667.912,46.260.885.660.607,6505794793575.0,38931704956721.0,212016273735.0,610628968664.0,740667912.0,46260885660607.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,10.037.859.852,117.129.688.927,2.659.365.738,24.714.890.305,71.856.000,154.613.660.822,10037859852.0,117129688927.0,2659365738.0,24714890305.0,71856000.0,154613660822.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,4.324.095.513,58.641.926.246,41.485.658.753,39.090.909,-,104.490.771.421,4324095513.0,58641926246.0,41485658753.0,39090909.0,,104490771421.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.037.247.616),(1.590.062.092),(14.138.995.179),-,(19.766.304.887),,-4037247616.0,-1590062092.0,-14138995179.0,,-19766304887.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.520.156.748.940,39.103.439.324.278,254.571.236.134,621.243.954.699,812.523.912,46.500.223.787.963,6520156748940.0,39103439324278.0,254571236134.0,621243954699.0,812523912.0,46500223787963.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.772.023.534.743,28.764.082.311.572,159.082.842.982,544.952.113.239,608.769.282,33.240.749.571.818,3772023534743.0,28764082311572.0,159082842982.0,544952113239.0,608769282.0,33240749571818.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,192.358.368.888,1.890.523.583.352,14.182.333.551,22.683.647.415,39.050.534,2.119.786.983.740,192358368888.0,1890523583352.0,14182333551.0,22683647415.0,39050534.0,2119786983740.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,-,131.039.733,126.413.532,-,257.453.265,,,131039733.0,126413532.0,,257453265.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.987.086.732),(1.590.062.092),(14.129.436.427),-,(19.706.585.251),,-3987086732.0,-1590062092.0,-14129436427.0,,-19706585251.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.964.381.903.631,30.650.618.808.192,171.806.154.174,553.632.737.759,647.819.816,35.341.087.423.572,3964381903631.0,30650618808192.0,171806154174.0,553632737759.0,647819816.0,35341087423572.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.733.771.258.832,10.167.622.645.149,52.933.430.753,65.676.855.425,131.898.630,13.020.136.088.789,2733771258832.0,10167622645149.0,52933430753.0,65676855425.0,131898630.0,13020136088789.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.555.774.845.309,8.452.820.516.086,82.765.081.960,67.611.216.940,164.704.096,11.159.136.364.391,2555774845309.0,8452820516086.0,82765081960.0,67611216940.0,164704096.0,11159136364391.0
