row_label_raw,row_label_full,Chỉ tiêu,Sản phẩmlọc hóa dầu > VND,Sản xuất bao bì vàthương mại dịch vụ > VND,Loại trừ nội bộ > VND,Tổng > VND,numeric__Sản phẩmlọc hóa dầu > VND,numeric__Sản xuất bao bì vàthương mại dịch vụ > VND,numeric__Loại trừ nội bộ > VND,numeric__Tổng > VND
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,85.004.418.533.771,448.563.870.495,(309.754.917.292),85.143.227.486.974,85004418533771.0,448563870495.0,-309754917292.0,85143227486974.0
Tổng Tài sản hợp nhất,Tài sản > Tổng Tài sản hợp nhất,Tổng Tài sản hợp nhất,85.004.418.533.771,448.563.870.495,(309.754.917.292),85.143.227.486.974,85004418533771.0,448563870495.0,-309754917292.0,85143227486974.0
Nguồn vốn,Nguồn vốn,Nguồn vốn,,,,,,,,
Nợ phải trả bộ phận,Nguồn vốn > Nợ phải trả bộ phận,Nợ phải trả bộ phận,24.536.799.663.095,257.204.261.941,(163.862.071.927),24.630.141.853.109,24536799663095.0,257204261941.0,-163862071927.0,24630141853109.0
Vốn chủ sở hữu bộ phận,Nguồn vốn > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,60.467.618.870.676,191.359.608.554,(145.892.845.365),60.513.085.633.865,60467618870676.0,191359608554.0,-145892845365.0,60513085633865.0
Tổng Nguồn vốn hợp nhất,Nguồn vốn > Tổng Nguồn vốn hợp nhất,Tổng Nguồn vốn hợp nhất,85.004.418.533.771,448.563.870.495,(309.754.917.292),85.143.227.486.974,85004418533771.0,448563870495.0,-309754917292.0,85143227486974.0
Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2024,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Sản phẩmlọc hóa dầu,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,VND,VND,VND,VND,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,
Tài sản bộ phận,Tài sản > Tài sản bộ phận,Tài sản bộ phận,88.352.140.328.065,288.529.641.675,(253.802.240.942),88.386.867.728.798,88352140328065.0,288529641675.0,-253802240942.0,88386867728798.0
Tổng Tài sản hợp nhất,Tài sản > Tổng Tài sản hợp nhất,Tổng Tài sản hợp nhất,88.352.140.328.065,288.529.641.675,(253.802.240.942),88.386.867.728.798,88352140328065.0,288529641675.0,-253802240942.0,88386867728798.0
Nguồn vốn,Nguồn vốn,Nguồn vốn,,,,,,,,
Nợ phải trả bộ phận,Nguồn vốn > Nợ phải trả bộ phận,Nợ phải trả bộ phận,32.860.681.385.594,96.086.706.642,(107.909.395.577),32.848.858.695.659,32860681385594.0,96086706642.0,-107909395577.0,32848858695659.0
Vốn chủ sở hữu bộ phận,Nguồn vốn > Vốn chủ sở hữu bộ phận,Vốn chủ sở hữu bộ phận,55.491.458.942.471,192.442.935.033,(145.892.845.365),55.538.009.032.139,55491458942471.0,192442935033.0,-145892845365.0,55538009032139.0
Tổng Nguồn vốn hợp nhất,Nguồn vốn > Tổng Nguồn vốn hợp nhất,Tổng Nguồn vốn hợp nhất,88.352.140.328.065,288.529.641.675,(253.802.240.942),88.386.867.728.798,88352140328065.0,288529641675.0,-253802240942.0,88386867728798.0
