row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,-,42.885.230,42.885.230,,,42885230.0,42885230.0
"Thuế xuất, nhập khẩu","a. Các khoản phải thu > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",1.294.523.232,199.006.620.429,198.861.795.216,1.149.698.019,1294523232.0,199006620429.0,198861795216.0,1149698019.0
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,85.527.253.841,85.527.253.841,30.503.922,30.503.922,85527253841.0,85527253841.0,30503922.0,30503922.0
Thuế nhà thầu,a. Các khoản phải thu > Thuế nhà thầu,Thuế nhà thầu,2.076.535.352,2.076.535.352,-,-,2076535352.0,2076535352.0,,
Tiền thuê đất,a. Các khoản phải thu > Tiền thuê đất,Tiền thuê đất,-,1.215.038.607,3.378.374.562,2.163.335.955,,1215038607.0,3378374562.0,2163335955.0
,,,88.898.312.425,287.825.448.229,202.313.558.930,3.386.423.126,88898312425.0,287825448229.0,202313558930.0,3386423126.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,578.278.264.635,7.762.048.362.028,8.171.394.499.685,168.932.126.978,578278264635.0,7762048362028.0,8171394499685.0,168932126978.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,578.278.264.622,3.089.515.089.334,3.498.861.226.991,168.932.126.965,578278264622.0,3089515089334.0,3498861226991.0,168932126965.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,13,4.672.533.272.694,4.672.533.272.694,13,13.0,4672533272694.0,4672533272694.0,13.0
Thuế tiêu thụ đặc biệt,b. Các khoản phải trả > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,542.148.260.586,5.579.964.068.147,5.610.474.993.953,511.637.334.780,542148260586.0,5579964068147.0,5610474993953.0,511637334780.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,351.804.477,702.222.486.102,389.976.406.563,312.597.884.016,351804477.0,702222486102.0,389976406563.0,312597884016.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.572.202.953,73.081.924.982,77.454.356.788,7.199.771.147,11572202953.0,73081924982.0,77454356788.0,7199771147.0
Thuế nhà thầu,b. Các khoản phải trả > Thuế nhà thầu,Thuế nhà thầu,5.475.626.627,87.521.780.849,92.769.808.615,227.598.861,5475626627.0,87521780849.0,92769808615.0,227598861.0
Tiền thuê đất,b. Các khoản phải trả > Tiền thuê đất,Tiền thuê đất,-,963.239.868,963.239.868,-,,963239868.0,963239868.0,
Thuế bảo vệ môi trường,b. Các khoản phải trả > Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,8.521.521.000,159.805.441.000,122.519.124.000,45.807.838.000,8521521000.0,159805441000.0,122519124000.0,45807838000.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,-,65.461.060.255,65.461.060.255,-,,65461060255.0,65461060255.0,
,,,1.146.347.680.278,14.431.068.363.231,14.531.013.489.727,1.046.402.553.782,1146347680278.0,14431068363231.0,14531013489727.0,1046402553782.0
