row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,31.004.996.160.000,10.047.967.778.589,106.709.914,16.340.184.316.581,(124.559.218.708),57.268.695.746.376,31004996160000.0,10047967778589.0,106709914.0,16340184316581.0,-124559218708.0,57268695746376.0
Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,Lợi nhuận/(Lỗ) trong năm,-,-,-,631.130.749.304,(40.039.161.849),591.091.587.455,,,,631130749304.0,-40039161849.0,591091587455.0
Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2023,Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2023,Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2023,-,-,-,(346.653.627.545),(598.093.468),(347.251.721.013),,,,-346653627545.0,-598093468.0,-347251721013.0
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2024",-,-,-,(1.665.226.302),(334.773.698),(2.000.000.000),,,,-1665226302.0,-334773698.0,-2000000000.0
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,2.626.534.340.888,-,(2.626.534.340.888),-,-,,2626534340888.0,,-2626534340888.0,,
Chia cổ tức năm 2023,Chia cổ tức năm 2023,Chia cổ tức năm 2023,-,-,-,(2.170.349.731.200),(1.941.646.000),(2.172.291.377.200),,,,-2170349731200.0,-1941646000.0,-2172291377200.0
Thay đổi do chấm dứt hợp nhất BSR-BF,Thay đổi do chấm dứt hợp nhất BSR-BF,Thay đổi do chấm dứt hợp nhất BSR-BF,-,-,-,-,200.099.791.521,200.099.791.521,,,,,200099791521.0,200099791521.0
Khác,Khác,Khác,-,(188.561),-,-,(334.806.339),(334.995.000),,-188561.0,,,-334806339.0,-334995000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,31.004.996.160.000,12.674.501.930.816,106.709.914,11.826.112.139.950,32.292.091.459,55.538.009.032.139,31004996160000.0,12674501930816.0,106709914.0,11826112139950.0,32292091459.0,55538009032139.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,5.213.612.063.223,3.340.233.114,5.216.952.296.337,,,,5213612063223.0,3340233114.0,5216952296337.0
Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2024 (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2024 (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thưởng Ban Điều hành từ lợi nhuận sau thuế năm 2024 (i),-,-,-,(234.293.114.531),(625.653.144),(234.918.767.675),,,,-234293114531.0,-625653144.0,-234918767675.0
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2025","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2025","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận sau thuế năm 2025",-,-,-,(4.061.012.360),(816.417.640),(4.877.430.000),,,,-4061012360.0,-816417640.0,-4877430000.0
Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),Trích Quỹ đầu tư phát triển (i),-,85.546.575.109,-,(85.546.575.109),-,-,,85546575109.0,,-85546575109.0,,
Chia cổ tức năm 2024 (i),Chia cổ tức năm 2024 (i),Chia cổ tức năm 2024 (i),-,-,-,-,(2.079.496.936),(2.079.496.936),,,,,-2079496936.0,-2079496936.0
Tăng vốn trong năm (ii),Tăng vốn trong năm (ii),Tăng vốn trong năm (ii),19.068.000.700.000,(9.766.512.110.000),-,(9.301.488.590.000),-,-,19068000700000.0,-9766512110000.0,,-9301488590000.0,,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,50.072.996.860.000,2.993.536.395.925,106.709.914,7.414.334.911.173,32.110.756.853,60.513.085.633.865,50072996860000.0,2993536395925.0,106709914.0,7414334911173.0,32110756853.0,60513085633865.0
