row_label_raw,row_label_full,Chỉ tiêu,Sản phẩmlọc hóa dầu,Sản xuất bao bì vàthương mại dịch vụ,Loại trừ nội bộ,Tổng,numeric__Sản phẩmlọc hóa dầu,numeric__Sản xuất bao bì vàthương mại dịch vụ,numeric__Loại trừ nội bộ,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,141.515.691.336.290,1.444.502.419.142,(1.378.044.648.130),141.582.149.107.302,141515691336290.0,1444502419142.0,-1378044648130.0,141582149107302.0
Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,Chi phí sản xuất kinh doanh,136.994.813.449.426,1.427.550.210.361,(1.378.351.035.043),137.044.012.624.744,136994813449426.0,1427550210361.0,-1378351035043.0,137044012624744.0
- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,- Giá vốn hàng bán và dịch vụ cung cấp,135.432.340.277.756,1.391.926.830.433,(1.356.036.576.783),135.468.230.531.406,135432340277756.0,1391926830433.0,-1356036576783.0,135468230531406.0
- Chi phí bán hàng,- Chi phí bán hàng,- Chi phí bán hàng,818.890.159.091,6.949.123.205,(1.466.043.416),824.373.238.880,818890159091.0,6949123205.0,-1466043416.0,824373238880.0
- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,743.583.012.579,28.674.256.723,(20.848.414.844),751.408.854.458,743583012579.0,28674256723.0,-20848414844.0,751408854458.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,4.520.877.886.864,16.952.208.781,306.386.913,4.538.136.482.558,4520877886864.0,16952208781.0,306386913.0,4538136482558.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.917.349.825.881,,,,1917349825881.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,481.124.098.984,,,,481124098984.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,,,,30.339.825.825,,,,30339825825.0
Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thu nhập doanh nghiệp,,,,6.004.702.035.280,,,,6004702035280.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,787.749.739.943,,,,787749739943.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,-,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,5.216.952.296.337,,,,5216952296337.0
Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,Báo cáo kết quả hoạt động kinh doanh hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,,,,
