row_label_raw,row_label_full,Chi phí thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu trong những năm trước,Năm nay > 6.508.436.388 > 2.497.811.936 > 9.006.248.324,VNDNăm trước > 56.593.281.979 > - > 56.593.281.979,numeric__Năm nay > 6.508.436.388 > 2.497.811.936 > 9.006.248.324,numeric__VNDNăm trước > 56.593.281.979 > - > 56.593.281.979
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,(27.589.890.964),(3.171.458.520),-27589890964.0,-3171458520.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,(18.583.642.640),53.421.823.459,-18583642640.0,53421823459.0
