row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Tỷ lệ vốn nằm giữ(%),Giá gốcVND,Dự phòngVND,Tỷ lệ vốn nằm giữ(%),Giá gốcVND,Dự phòngVND,,,,,,
Tâm Hưng,Tâm Hưng,Tâm Hưng,"99,90%",29.970.000.000,-,"99,90%",29.970.000.000,-,0.9990000000000001,29970000000.0,,0.9990000000000001,29970000000.0,
Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,Chăn nuôi Bảo Ngọc,"100,00%",20.000.000.000,(12.024.249.276),"100,00%",20.000.000.000,(12.024.249.276),1.0,20000000000.0,-12024249276.0,1.0,20000000000.0,-12024249276.0
Phân bón Hữu cơ Vi sinh BAF (vii),Phân bón Hữu cơ Vi sinh BAF (vii),Phân bón Hữu cơ Vi sinh BAF (vii),"90,00%",18.000.000.000,-,-,-,-,0.9,18000000000.0,,,,
Logistic BAF (viii),Logistic BAF (viii),Logistic BAF (viii),"100,00%",30.000.000,-,-,-,-,1.0,30000000.0,,,,
Chế biến Thực phẩm BAF Tây Ninh (ix),Chế biến Thực phẩm BAF Tây Ninh (ix),Chế biến Thực phẩm BAF Tây Ninh (ix),"100,00%",-,-,-,-,-,1.0,,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,1.668.712.039.781,(12.024.249.276),,1.000.682.039.781,(12.024.249.276),,1668712039781.0,-12024249276.0,,1000682039781.0,-12024249276.0
"(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.","(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.","(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.","(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.","(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.","(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.","(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.","(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.","(i) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 280.000.000.000 VND vào Hải Đăng Tây Ninh, làm tăng phần sở hữu của Công ty từ 99,40% lên 99,80% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901312793 cho Hải Đăng Tây Ninh vào ngày 13 tháng 4 năm 2023.",,,,,,
"(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.","(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.","(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.","(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.","(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.","(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.","(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.","(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.","(ii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 110.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,70% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901201409 cho Trang Trại Xanh 2 vào ngày 14 tháng 4 năm 2023.",,,,,,
"(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.","(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.","(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.","(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.","(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.","(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.","(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.","(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.","(iii) Ngày 27 tháng 3 năm 2023, Công ty đã hoàn tất việc góp thêm vốn bằng tiền với giá trị 70.000.000.000 VND vào Trang Trại Xanh 2, làm tăng phần sở hữu của Công ty từ 98,00% lên 99,30% vào ngày này. Việc góp thêm vốn này đã được Hội đồng Quản trị thông qua, và SKHĐT Tĩnh Tây Ninh đã cấp GCNĐKDN điều chỉnh số 3901293928 cho Bắc An Khánh vào ngày 14 tháng 4 năm 2023.",,,,,,
