row_label_raw,row_label_full,Chỉ tiêu,Năm 2023(VND),Năm 2022(VND),Chênh lệch tăng (giảm) > Số tiền VND,Chênh lệch tăng (giảm) > %,numeric__Năm 2023(VND),numeric__Năm 2022(VND),numeric__Chênh lệch tăng (giảm) > Số tiền VND,numeric__Chênh lệch tăng (giảm) > %
Lợi nhuận sau thuế quý IV,Lợi nhuận sau thuế quý IV,Lợi nhuận sau thuế quý IV,"40,659,822,690","7,075,084,012","33,584,738,678",474.7%,,,,47.47
Lợi nhuận sau thuế lũy kế 12 tháng,Lợi nhuận sau thuế lũy kế 12 tháng,Lợi nhuận sau thuế lũy kế 12 tháng,"50,375,678,813","244,842,328,636","(194,466,649,823)",-79.4%,,,,-7.94
