row_label_raw,row_label_full,Giá trị trái phiếu chuyển đổi > Cơ cấu vốn chủ sở hữu (Thuyết minh số 25.1),Số cuối năm > 600.000.000.000 > (137.648.613.977),numeric__Số cuối năm > 600.000.000.000 > (137.648.613.977)
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,462.351.386.023,462351386023.0
Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,13.572.019.890,13572019890.0
Số đầu năm,Số đầu năm,Số đầu năm,-,
Số phân bổ tăng trong năm,Số đầu năm > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,13.572.019.890,13572019890.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,13.572.019.890,13572019890.0
Trừ: Giá trị phân bổ chỉ phí phát hành trái phiếu,Số đầu năm > Trừ: Giá trị phân bổ chỉ phí phát hành trái phiếu,Trừ: Giá trị phân bổ chỉ phí phát hành trái phiếu,(23.417.852.643),-23417852643.0
Số đầu năm,Số đầu năm,Số đầu năm,-,
Chỉ phí phát hành trái phiếu,Số đầu năm > Chỉ phí phát hành trái phiếu,Chỉ phí phát hành trái phiếu,(26.414.449.901),-26414449901.0
Số phân bổ giảm trong năm,Số đầu năm > Số phân bổ giảm trong năm,Số phân bổ giảm trong năm,2.996.597.258,2996597258.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,(23.417.852.643),-23417852643.0
Cơ cấu nợ gốc tại ngày cuối năm,Số đầu năm > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,452.505.553.270,452505553270.0
