row_label_raw,row_label_full,Đầu tư vào công ty con(Thuyết minh số 17.1) > Đầu tư vào đơn vị khác(Thuyết minh số 17.2),Số cuối năm > Giá gốc > 1.668.712.039.781 > -,Số cuối năm > Dự phòng > (12.024.249.276) > -,Số cuối năm > Giá trị hợp lý > 1.656.687.790.505 > -,Số đầu năm > Giá gốc > 1.000.682.039.781 > 29.400.000.000,Số đầu năm > Dự phòng > (12.024.249.276) > -,Số đầu năm > Giá trị hợp lý > 988.657.790.505 > 29.400.000.000,numeric__Số cuối năm > Giá gốc > 1.668.712.039.781 > -,numeric__Số cuối năm > Dự phòng > (12.024.249.276) > -,numeric__Số cuối năm > Giá trị hợp lý > 1.656.687.790.505 > -,numeric__Số đầu năm > Giá gốc > 1.000.682.039.781 > 29.400.000.000,numeric__Số đầu năm > Dự phòng > (12.024.249.276) > -,numeric__Số đầu năm > Giá trị hợp lý > 988.657.790.505 > 29.400.000.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.668.712.039.781,(12.024.249.276),1.656.687.790.505,1.030.082.039.781,(12.024.249.276),1.018.057.790.505,1668712039781.0,-12024249276.0,1656687790505.0,1030082039781.0,-12024249276.0,1018057790505.0
17.1 Đầu tư vào các công ty con,17.1 Đầu tư vào các công ty con,17.1 Đầu tư vào các công ty con,17.1 Đầu tư vào các công ty con,17.1 Đầu tư vào các công ty con,17.1 Đầu tư vào các công ty con,17.1 Đầu tư vào các công ty con,17.1 Đầu tư vào các công ty con,17.1 Đầu tư vào các công ty con,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Tỷ lệ vốn nằm giữ(%),Giá gốcVND,Dự phòngVND,Tỷ lệ vốn nằm giữ(%),Giá gốcVND,Dự phòngVND,,,,,,
Hải Đăng Tây Ninh (i),17.1 Đầu tư vào các công ty con > Hải Đăng Tây Ninh (i),Hải Đăng Tây Ninh (i),"99,80%",399.280.000.000,-,"99,40%",119.280.000.000,-,0.998,399280000000.0,,0.9940000000000001,119280000000.0,
BAF Tây Ninh,17.1 Đầu tư vào các công ty con > BAF Tây Ninh,BAF Tây Ninh,"99,00%",148.500.000.000,-,"99,00%",148.500.000.000,-,0.99,148500000000.0,,0.99,148500000000.0,
Trang Trại Xanh 2 (ii),17.1 Đầu tư vào các công ty con > Trang Trại Xanh 2 (ii),Trang Trại Xanh 2 (ii),"99,70%",129.600.000.000,-,"98,00%",19.600.000.000,-,0.997,129600000000.0,,0.98,19600000000.0,
BAF Meat Bình Phước,17.1 Đầu tư vào các công ty con > BAF Meat Bình Phước,BAF Meat Bình Phước,"100,00%",120.000.000.000,-,"100,00%",120.000.000.000,-,1.0,120000000000.0,,1.0,120000000000.0,
Bắc An Khánh (iii),17.1 Đầu tư vào các công ty con > Bắc An Khánh (iii),Bắc An Khánh (iii),"99,30%",109.200.000.000,-,"98,00%",39.200.000.000,-,0.993,109200000000.0,,0.98,39200000000.0,
BAF Bình Định (iv),17.1 Đầu tư vào các công ty con > BAF Bình Định (iv),BAF Bình Định (iv),"98,54%",108.400.000.000,-,"98,00%",78.400.000.000,-,0.9854,108400000000.0,,0.98,78400000000.0,
Đông An Khánh (v),17.1 Đầu tư vào các công ty con > Đông An Khánh (v),Đông An Khánh (v),"99,60%",99.600.000.000,-,"98,00%",19.600.000.000,-,0.996,99600000000.0,,0.98,19600000000.0,
Nam An Khánh (vi),17.1 Đầu tư vào các công ty con > Nam An Khánh (vi),Nam An Khánh (vi),"99,60%",99.600.000.000,-,"98,00%",19.600.000.000,-,0.996,99600000000.0,,0.98,19600000000.0,
Chăn nuôi Kim Hội,17.1 Đầu tư vào các công ty con > Chăn nuôi Kim Hội,Chăn nuôi Kim Hội,"100,00%",95.339.118.071,-,"99,90%",95.339.118.071,-,1.0,95339118071.0,,0.9990000000000001,95339118071.0,
Thiên Phú Sơn,17.1 Đầu tư vào các công ty con > Thiên Phú Sơn,Thiên Phú Sơn,"100,00%",64.183.771.710,-,"100,00%",64.183.771.710,-,1.0,64183771710.0,,1.0,64183771710.0,
Anh Vũ Phú Yên,17.1 Đầu tư vào các công ty con > Anh Vũ Phú Yên,Anh Vũ Phú Yên,"100,00%",50.000.000.000,-,"100,00%",50.000.000.000,-,1.0,50000000000.0,,1.0,50000000000.0,
Chăn nuôi Minh Thành,17.1 Đầu tư vào các công ty con > Chăn nuôi Minh Thành,Chăn nuôi Minh Thành,"98,00%",49.000.000.000,-,"98,00%",49.000.000.000,-,0.98,49000000000.0,,0.98,49000000000.0,
Sông Hinh,17.1 Đầu tư vào các công ty con > Sông Hinh,Sông Hinh,"100,00%",48.000.000.000,-,"100,00%",48.000.000.000,-,1.0,48000000000.0,,1.0,48000000000.0,
Tân Châu,17.1 Đầu tư vào các công ty con > Tân Châu,Tân Châu,"99,90%",40.809.150.000,-,"99,90%",40.809.150.000,-,0.9990000000000001,40809150000.0,,0.9990000000000001,40809150000.0,
Trang Trại Xanh 1,17.1 Đầu tư vào các công ty con > Trang Trại Xanh 1,Trang Trại Xanh 1,"98,00%",39.200.000.000,-,"98,00%",39.200.000.000,-,0.98,39200000000.0,,0.98,39200000000.0,
