row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),Phần mềm máy tính,VND Tổng cộng,numeric__Quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,180.849.310.000,1.582.516.000,182.431.826.000,180849310000.0,1582516000.0,182431826000.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,550.000.000,550.000.000,,550000000.0,550000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,180.849.310.000,2.132.516.000,182.981.826.000,180849310000.0,2132516000.0,182981826000.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,(84.968.007),(776.032.296),(861.000.303),-84968007.0,-776032296.0,-861000303.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,(95.476.461),(289.948.431),(385.424.892),-95476461.0,-289948431.0,-385424892.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,(180.444.468),(1.065.980.727),(1.246.425.195),-180444468.0,-1065980727.0,-1246425195.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,180.764.341.993,806.483.704,181.570.825.697,180764341993.0,806483704.0,181570825697.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,180.668.865.532,1.066.535.273,181.735.400.805,180668865532.0,1066535273.0,181735400805.0
