row_label_raw,row_label_full,Năm phát sinh,Có thể chuyển lỗ đến năm,Lỗ tính thuế,Đã chuyển lỗ đến ngày 31/12/2023,Không được chuyển lỗ,Chưa chuyển lỗ tại ngày 31/12/2023,numeric__Có thể chuyển lỗ đến năm,numeric__Lỗ tính thuế,numeric__Đã chuyển lỗ đến ngày 31/12/2023,numeric__Không được chuyển lỗ,numeric__Chưa chuyển lỗ tại ngày 31/12/2023
Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,Trụ sở chính,,,,,
2023,Trụ sở chính > 2023,2023,2028,198.280.386.746,-,-,198.280.386.746,2028.0,198280386746.0,,,198280386746.0
Các chi nhánh,Các chi nhánh,Các chi nhánh,Các chi nhánh,Các chi nhánh,Các chi nhánh,Các chi nhánh,Các chi nhánh,,,,,
2021,Các chi nhánh > 2021,2021,2026,31.566.070,-,-,31.566.070,2026.0,31566070.0,,,31566070.0
2022,Các chi nhánh > 2022,2022,2027,7.583.628.876,-,-,7.583.628.876,2027.0,7583628876.0,,,7583628876.0
2023,Các chi nhánh > 2023,2023,2028,911.515.725,-,-,911.515.725,2028.0,911515725.0,,,911515725.0
TỔNG CỘNG,Các chi nhánh > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,206.807.097.417,-,-,206.807.097.417,,206807097417.0,,,206807097417.0
