row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,Năm trước:,,,,,
Số đầu năm,Năm trước: > Số đầu năm,Số đầu năm,780.000.000.000,279.844.500.000,-,377.236.264.583,1.437.080.764.583,780000000000.0,279844500000.0,,377236264583.0,1437080764583.0
Phát hành cổ phiếu thường,Năm trước: > Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,304.200.000.000,(279.844.500.000),-,(24.355.500.000),-,304200000000.0,-279844500000.0,,-24355500000.0,
Phát hành cổ phiếu trả cổ tức,Năm trước: > Phát hành cổ phiếu trả cổ tức,Phát hành cổ phiếu trả cổ tức,351.000.000.000,-,-,(351.000.000.000),-,351000000000.0,,,-351000000000.0,
Lợi nhuận thuần trong năm,Năm trước: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,244.842.328.636,244.842.328.636,,,,244842328636.0,244842328636.0
Số cuối năm,Năm trước: > Số cuối năm,Số cuối năm,1.435.200.000.000,-,-,246.723.093.219,1.681.923.093.219,1435200000000.0,,,246723093219.0,1681923093219.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,1.435.200.000.000,-,-,246.723.093.219,1.681.923.093.219,1435200000000.0,,,246723093219.0,1681923093219.0
Quyền chọn chuyển đổi trái phiếu (Thuyết minh số 24.4),Năm nay: > Quyền chọn chuyển đổi trái phiếu (Thuyết minh số 24.4),Quyền chọn chuyển đổi trái phiếu (Thuyết minh số 24.4),-,-,137.648.613.977,-,137.648.613.977,,,137648613977.0,,137648613977.0
Lợi nhuận thuần trong năm,Năm nay: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,50.375.678.813,50.375.678.813,,,,50375678813.0,50375678813.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,1.435.200.000.000,-,137.648.613.977,297.098.772.032,1.869.947.386.009,1435200000000.0,,137648613977.0,297098772032.0,1869947386009.0
25.2 Chi tiết vốn cổ phần,25.2 Chi tiết vốn cổ phần,25.2 Chi tiết vốn cổ phần,25.2 Chi tiết vốn cổ phần,25.2 Chi tiết vốn cổ phần,25.2 Chi tiết vốn cổ phần,25.2 Chi tiết vốn cổ phần,25.2 Chi tiết vốn cổ phần,,,,,
,,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,
,,,,VND,Cổ phiếu %,VND,Cổ phiếu %,,,,,
Công ty Cổ phần Siba Holdings,25.2 Chi tiết vốn cổ phần > Công ty Cổ phần Siba Holdings,Công ty Cổ phần Siba Holdings,,581.029.000.000,"58.102.900 40,5",563.539.500.000,"56.353.950 39,3",,581029000000.0,,563539500000.0,
Bà Bùi Hương Giang,25.2 Chi tiết vốn cổ phần > Bà Bùi Hương Giang,Bà Bùi Hương Giang,,46.690.000.000,"4.669.000 3,2",48.463.500.000,"4.846.350 3,3",,46690000000.0,,48463500000.0,
Cổ đông khác,25.2 Chi tiết vốn cổ phần > Cổ đông khác,Cổ đông khác,,807.481.000.000,"80.748.100 56,3",823.197.000.000,"82.319.700 57,4",,807481000000.0,,823197000000.0,
TỔNG CỘNG,25.2 Chi tiết vốn cổ phần > TỔNG CỘNG,TỔNG CỘNG,,1.435.200.000.000,"143.520.000 100,0",1.435.200.000.000,"143.520.000 100,0",,1435200000000.0,,1435200000000.0,
