row_label_raw,row_label_full,col_0,1/1/2017VND,Hợp nhấtkinh doanh(Thuyết minh V.1)VND,Ghi nhận trong báo cáo kết quả hoạt động kinh doanhVND,Chênh lệch quy đổi tiền tệVND,31/12/2017VND,numeric__1/1/2017VND,numeric__Hợp nhấtkinh doanh(Thuyết minh V.1)VND,numeric__Ghi nhận trong báo cáo kết quả hoạt động kinh doanhVND,numeric__Chênh lệch quy đổi tiền tệVND,numeric__31/12/2017VND
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,(422.067.654),-,749.019.134,-,326.951.480,-422067654.0,,749019134.0,,326951480.0
Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,35.072.880.406,-,(5.005.063.006),-,30.067.817.400,35072880406.0,,-5005063006.0,,30067817400.0
Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,34.650.812.752,-,(4.256.043.872),-,30.394.768.880,34650812752.0,,-4256043872.0,,30394768880.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,1.261.870.300,-,182.974.172,(2.058.567),1.442.785.905,1261870300.0,,182974172.0,-2058567.0,1442785905.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,1.063.222.600,-,271.104.766,(1.806.686),1.332.520.680,1063222600.0,,271104766.0,-1806686.0,1332520680.0
Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,55.978.245.400,-,(5.690.183.779),(82.797.456),50.205.264.165,55978245400.0,,-5690183779.0,-82797456.0,50205264165.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,6.550.039.600,-,438.725.255,(10.370.010),6.978.394.845,6550039600.0,,438725255.0,-10370010.0,6978394845.0
Khác,Khác,Khác,2.122.450.000,-,(20.146.345.354),9.164.064,(18.014.731.290),2122450000.0,,-20146345354.0,9164064.0,-18014731290.0
Dự phòng định giá,Dự phòng định giá,Dự phòng định giá,(50.164.094.400),-,50.117.687.088,46.407.312,-,-50164094400.0,,50117687088.0,46407312.0,
Tài sản cố định,Tài sản cố định,Tài sản cố định,(106.837.323.000),(134.271.628.012),(4.622.044.017),168.653.660,(245.562.341.369),-106837323000.0,-134271628012.0,-4622044017.0,168653660.0,-245562341369.0
Tổng thuế thu nhập hoãn lại phải trả thuần,Tổng thuế thu nhập hoãn lại phải trả thuần,Tổng thuế thu nhập hoãn lại phải trả thuần,(90.025.589.500),(134.271.628.012),20.551.918.131,127.192.317,(203.618.107.064),-90025589500.0,-134271628012.0,20551918131.0,127192317.0,-203618107064.0
,,,(55.374.776.748),(134.271.628.012),16.295.874.259,127.192.317,(173.223.338.184),-55374776748.0,-134271628012.0,16295874259.0,127192317.0,-173223338184.0
