row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia súc VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia súc VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.007.241.465.794,9.191.877.230.900,846.918.883.799,517.689.874.335,605.814.584.799,88.196.627.500,14.257.738.667.127,3007241465794.0,9191877230900.0,846918883799.0,517689874335.0,605814584799.0,88196627500.0,14257738667127.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,15.337.522.870,170.727.726.652,71.124.919.833,23.014.852.296,115.248.346.800,385.543.000,395.838.911.451,15337522870.0,170727726652.0,71124919833.0,23014852296.0,115248346800.0,385543000.0,395838911451.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,191.744.211.362,1.243.092.575.537,49.458.829.345,14.620.939.113,-,6.945.413.634,1.505.861.968.991,191744211362.0,1243092575537.0,49458829345.0,14620939113.0,,6945413634.0,1505861968991.0
Chuyển từ chi phí sản xuất kinh doanh dở dang dài hạn,Nguyên giá > Chuyển từ chi phí sản xuất kinh doanh dở dang dài hạn,Chuyển từ chi phí sản xuất kinh doanh dở dang dài hạn,-,-,-,-,293.011.609.924,-,293.011.609.924,,,,,293011609924.0,,293011609924.0
Tăng do hợp nhất kinh doanh(Thuyết minh V.1),Nguyên giá > Tăng do hợp nhất kinh doanh(Thuyết minh V.1),Tăng do hợp nhất kinh doanh(Thuyết minh V.1),736.946.558.473,2.134.697.881.572,29.692.118.139,632.712.189,-,-,2.901.969.270.373,736946558473.0,2134697881572.0,29692118139.0,632712189.0,,,2901969270373.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,15.653.375.737,-,(15.031.927.867),-,(621.447.870),-,,15653375737.0,,-15031927867.0,,-621447870.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(7.845.473.766),(185.328.897.569),(15.909.758.301),(3.078.066.918),(141.918.193.486),-,(354.080.390.040),-7845473766.0,-185328897569.0,-15909758301.0,-3078066918.0,-141918193486.0,,-354080390040.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,-,-,(1.099.317.678),(80.330.318.414),(81.429.636.092),,,,,-1099317678.0,-80330318414.0,-81429636092.0
Chênh lệch quy đổi tiên tệ,Nguyên giá > Chênh lệch quy đổi tiên tệ,Chênh lệch quy đổi tiên tệ,(188.187.379),(1.061.123.735),(161.071.644),(10.421.410),-,(53.797.082),(1.474.601.250),-188187379.0,-1061123735.0,-161071644.0,-10421410.0,,-53797082.0,-1474601250.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.943.236.097.354,12.569.658.769.094,981.123.921.171,537.837.961.738,871.057.030.359,14.522.020.768,18.917.435.800.484,3943236097354.0,12569658769094.0,981123921171.0,537837961738.0,871057030359.0,14522020768.0,18917435800484.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,741.036.482.817,4.616.175.131.644,380.716.907.457,361.670.334.825,171.989.165.477,69.827.651.963,6.341.415.674.183,741036482817.0,4616175131644.0,380716907457.0,361670334825.0,171989165477.0,69827651963.0,6341415674183.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,168.997.474.952,856.654.986.027,85.016.308.745,54.460.696.395,112.639.223.097,457.460.957,1.278.226.150.173,168997474952.0,856654986027.0,85016308745.0,54460696395.0,112639223097.0,457460957.0,1278226150173.0
Tăng do hợp nhất kinh doanh(Thuyết minh V.1),Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh(Thuyết minh V.1),Tăng do hợp nhất kinh doanh(Thuyết minh V.1),332.065.552.294,949.765.946.545,14.383.716.869,462.329.751,-,-,1.296.677.545.459,332065552294.0,949765946545.0,14383716869.0,462329751.0,,,1296677545459.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,36.372.757,8.690.125.121,-,(8.473.957.511),-,(252.540.367),-,36372757.0,8690125121.0,,-8473957511.0,,-252540367.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(3.156.998.465),(133.136.988.354),(13.699.520.079),(3.072.379.418),(66.634.742.988),-,(219.700.629.304),-3156998465.0,-133136988354.0,-13699520079.0,-3072379418.0,-66634742988.0,,-219700629304.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,-,-,-,(34.107.731),(68.891.440.397),(68.925.548.128),,,,,-34107731.0,-68891440397.0,-68925548128.0
