row_label_raw,row_label_full,Hội đồng Quản trị,Bà Lê Thị Băng Tâm,Chủ tịch,numeric__Bà Lê Thị Băng Tâm,numeric__Chủ tịch
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Mai Kiều Liên,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lee Meng Tat,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Nguyễn Hồng Hiền,Thành viên (từ ngày 15 tháng 4 năm 2017),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Đăng Thị Thu Hà,Thành viên (từ ngày 15 tháng 4 năm 2017),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Thành Liêm,Thành viên (từ ngày 15 tháng 4 năm 2017),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Michael Chye Hin Fah,Thành viên (từ ngày 15 tháng 4 năm 2017),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Nguyễn Bá Dương,Thành viên (từ ngày 15 tháng 4 năm 2017),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Đỗ Lê Hùng,Thành viên (từ ngày 15 tháng 4 năm 2017),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Song Lai,Thành viên (đến ngày 14 tháng 4 năm 2017),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Ngô Thị Thu Trang,Thành viên (đến ngày 14 tháng 4 năm 2017),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Lê Anh Minh,Thành viên (đến ngày 14 tháng 4 năm 2017),,
