row_label_raw,row_label_full,col_0,Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc_1,numeric__Dự phòng trợ cấp thời việc,numeric__Dự phòng trợ cấp thời việc_1
,,,2017VND,2016VND,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,95.960.585.167,87.325.705.000,95960585167.0,87325705000.0
Tăng dự phòng trong năm,Tăng dự phòng trong năm,Tăng dự phòng trong năm,6.952.419.190,10.053.842.830,6952419190.0,10053842830.0
Tăng do hợp nhất kinh doanh (Thuyết minh V.1),Tăng do hợp nhất kinh doanh (Thuyết minh V.1),Tăng do hợp nhất kinh doanh (Thuyết minh V.1),1.851.507.401,-,1851507401.0,
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,(2.241.083.583),(1.418.962.663),-2241083583.0,-1418962663.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,102.523.428.175,95.960.585.167,102523428175.0,95960585167.0
