row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tài sản khácVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tài sản khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,375.681.235.405,132.950.792.308,49.259.000.000,557.891.027.713,375681235405.0,132950792308.0,49259000000.0,557891027713.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.158.228.733,-,3.158.228.733,,3158228733.0,,3158228733.0
Tăng do hợp nhất kinhdoanh (Thuyết minh V.1),Nguyên giá > Tăng do hợp nhất kinhdoanh (Thuyết minh V.1),Tăng do hợp nhất kinhdoanh (Thuyết minh V.1),5.868.153.150,-,-,5.868.153.150,5868153150.0,,,5868153150.0
Chuyển từ xây dựng cơbản dở dang,Nguyên giá > Chuyển từ xây dựng cơbản dở dang,Chuyển từ xây dựng cơbản dở dang,-,11.957.912.736,-,11.957.912.736,,11957912736.0,,11957912736.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(108.924.684.515),-,-,(108.924.684.515),-108924684515.0,,,-108924684515.0
Chênh lệch quy đổitiền tệ,Nguyên giá > Chênh lệch quy đổitiền tệ,Chênh lệch quy đổitiền tệ,(322.514.956),(2.834.300),(75.950.000),(401.299.256),-322514956.0,-2834300.0,-75950000.0,-401299256.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,272.302.189.084,148.064.099.477,49.183.050.000,469.549.338.561,272302189084.0,148064099477.0,49183050000.0,469549338561.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.721.931.735,91.070.002.209,33.369.000.000,153.160.933.944,28721931735.0,91070002209.0,33369000000.0,153160933944.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.464.348.426,14.750.058.727,-,16.214.407.153,1464348426.0,14750058727.0,,16214407153.0
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,(18.566.191.677),-,-,(18.566.191.677),-18566191677.0,,,-18566191677.0
Chênh lệch quy đổitiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổitiền tệ,Chênh lệch quy đổitiền tệ,-,(840.842),(51.450.000),(52.290.842),,-840842.0,-51450000.0,-52290842.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.620.088.484,105.819.220.094,33.317.550.000,150.756.858.578,11620088484.0,105819220094.0,33317550000.0,150756858578.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,346.959.303.670,41.880.790.099,15.890.000.000,404.730.093.769,346959303670.0,41880790099.0,15890000000.0,404730093769.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,260.682.100.600,42.244.879.383,15.865.500.000,318.792.479.983,260682100600.0,42244879383.0,15865500000.0,318792479983.0
