row_label_raw,row_label_full,col_0,1/1/2017VND,Tăng thêmVND,Chi trảVND,Chênh lệchquy đốitiền tệVND,31/12/2017VND,numeric__1/1/2017VND,numeric__Tăng thêmVND,numeric__Chi trảVND,numeric__Chênh lệchquy đốitiền tệVND,numeric__31/12/2017VND
Vay dài hạn,Vay dài hạn,Vay dài hạn,372.370.398.182,77.304.664.365,(114.296.373.160),(532.000.000),334.846.689.387,372370398182.0,77304664365.0,-114296373160.0,-532000000.0,334846689387.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,(45.400.000.000),(128.110.452.002),113.539.702.002,73.500.000,(59.897.250.000),-45400000000.0,-128110452002.0,113539702002.0,73500000.0,-59897250000.0
,,,326.970.398.182,(50.805.787.637),(756.671.158),(458.500.000),274.949.439.387,326970398182.0,-50805787637.0,-756671158.0,-458500000.0,274949439387.0
