row_label_raw,row_label_full,col_0,31/12/2017 > % vốnsở hữu vàquyền biểu quyết,31/12/2017 > Giá trị ghi sốVND,31/12/2017 > Giá trịhợp lýVND,31/12/2017 > Dự phònggiảm giáVND,1/1/2017 > % vốnsở hữu vàquyền biểu quyết,1/1/2017 > Giá trị ghi sốVND,1/1/2017 > Giá trịhợp lýVND,1/1/2017 > Dự phònggiảm giáVND,numeric__31/12/2017 > % vốnsở hữu vàquyền biểu quyết,numeric__31/12/2017 > Giá trị ghi sốVND,numeric__31/12/2017 > Giá trịhợp lýVND,numeric__31/12/2017 > Dự phònggiảm giáVND,numeric__1/1/2017 > % vốnsở hữu vàquyền biểu quyết,numeric__1/1/2017 > Giá trị ghi sốVND,numeric__1/1/2017 > Giá trịhợp lýVND,numeric__1/1/2017 > Dự phònggiảm giáVND
Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,Các công ty liên kết,,,,,,,,
▪ Miraka Limited,Các công ty liên kết > ▪ Miraka Limited,▪ Miraka Limited,"22,81%",383.002.013.497,(*),-,"22,81%",338.642.990.088,(*),-,0.2281,383002013497.0,,,0.2281,338642990088.0,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn (***),Các công ty liên kết > ▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn (***),▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn (***),-,-,,-,"14,71%",72.902.360.632,(*),-,,,,,0.1471,72902360632.0,,
▪ Công ty Cổ phần Chế biến Dừa Á Châu,Các công ty liên kết > ▪ Công ty Cổ phần Chế biến Dừa Á Châu,▪ Công ty Cổ phần Chế biến Dừa Á Châu,"25,00%",86.858.993.107,(*),-,-,-,,-,0.25,86858993107.0,,,,,,
▪ Công ty Cổ phần APIS (**),Các công ty liên kết > ▪ Công ty Cổ phần APIS (**),▪ Công ty Cổ phần APIS (**),"18,00%",11.421.715.965,(*),-,"18,00%",8.364.035.008,(*),-,0.18,11421715965.0,,,0.18,8364035008.0,,
,,,,481.282.722.569,,-,,419.909.385.728,,-,,481282722569.0,,,,419909385728.0,,
Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,Khác,,,,,,,,
▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn (***),Khác > ▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn (***),▪ Công ty Cổ phần Nguyên liệu Thực phẩmÁ Châu Sài Gòn (***),,69.261.607.154,(*),-,,-,,-,,69261607154.0,,,,,,
▪ Quỹ đầu tư tăng trưởng Việt Nam (VF2),Khác > ▪ Quỹ đầu tư tăng trưởng Việt Nam (VF2),▪ Quỹ đầu tư tăng trưởng Việt Nam (VF2),,10.270.276.240,(*),(7.501.517.042),,10.270.276.240,(*),(7.490.301.769),,10270276240.0,,-7501517042.0,,10270276240.0,,-7490301769.0
▪ Nhà thuốc – Phòng khám đa khoa An Khang,Khác > ▪ Nhà thuốc – Phòng khám đa khoa An Khang,▪ Nhà thuốc – Phòng khám đa khoa An Khang,,300.000.000,(*),-,,300.000.000,(*),-,,300000000.0,,,,300000000.0,,
▪ Công ty Cổ phần Bò giống Miền Trung,Khác > ▪ Công ty Cổ phần Bò giống Miền Trung,▪ Công ty Cổ phần Bò giống Miền Trung,,1.688.700.000,(*),(619.873.969),,-,,-,,1688700000.0,,-619873969.0,,,,
▪ Khác,Khác > ▪ Khác,▪ Khác,,815.940.000,(*),-,,817.200.000,(*),-,,815940000.0,,,,817200000.0,,
,,,,82.336.523.394,,(8.121.391.011),,11.387.476.240,,(7.490.301.769),,82336523394.0,,-8121391011.0,,11387476240.0,,-7490301769.0
,,,,563.619.245.963,,(8.121.391.011),,431.296.861.968,,(7.490.301.769),,563619245963.0,,-8121391011.0,,431296861968.0,,-7490301769.0
