row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Công cụvà dụng cụVND,Chi phítrả trước khácVND,Tổng cộngVND,numeric__Chi phí đấttrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__Chi phítrả trước khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,233.057.352.676,183.921.289.004,42.416.415.349,459.395.057.029,233057352676.0,183921289004.0,42416415349.0,459395057029.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,2.502.746.703,143.962.341.959,38.394.417.544,184.859.506.206,2502746703.0,143962341959.0,38394417544.0,184859506206.0
Tăng do chuyển từ tài sản cố định hữu hình,Tăng do chuyển từ tài sản cố định hữu hình,Tăng do chuyển từ tài sản cố định hữu hình,-,11.438.878.017,1.065.209.947,12.504.087.964,,11438878017.0,1065209947.0,12504087964.0
Tăng do chuyển từ tài sản cố định vô hình,Tăng do chuyển từ tài sản cố định vô hình,Tăng do chuyển từ tài sản cố định vô hình,90.358.492.838,-,-,90.358.492.838,90358492838.0,,,90358492838.0
Tăng do chuyển từ xây dựng cơ bản dở dang,Tăng do chuyển từ xây dựng cơ bản dở dang,Tăng do chuyển từ xây dựng cơ bản dở dang,-,27.600.305.080,355.920.072,27.956.225.152,,27600305080.0,355920072.0,27956225152.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(8.539.448.097),(119.819.667.502),(33.792.484.562),(162.151.600.161),-8539448097.0,-119819667502.0,-33792484562.0,-162151600161.0
(Giảm)/tăng khác,(Giảm)/tăng khác,(Giảm)/tăng khác,-,(807.705.606),82.650.524,(725.055.082),,-807705606.0,82650524.0,-725055082.0
Phân loại lại,Phân loại lại,Phân loại lại,(86.350.498),276.831.095,(190.480.597),-,-86350498.0,276831095.0,-190480597.0,
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,(51.480.416),(7.865.504),(2.558.021),(61.903.941),-51480416.0,-7865504.0,-2558021.0,-61903941.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,317.241.313.206,246.564.406.543,48.329.090.256,612.134.810.005,317241313206.0,246564406543.0,48329090256.0,612134810005.0
