row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua VND,Các điều chỉnh giá trị hợp lý VND,Giá trị ghi nhận tại thời điểm mua VND,numeric__Giá trị ghi số trước thời điểm mua VND,numeric__Các điều chỉnh giá trị hợp lý VND,numeric__Giá trị ghi nhận tại thời điểm mua VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,8.587.383.115,-,8.587.383.115,8587383115.0,,8587383115.0
Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,Các khoản phải thu – ngắn hạn,110.282.100.955,-,110.282.100.955,110282100955.0,,110282100955.0
Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,(4.587.629.312),-,(4.587.629.312),-4587629312.0,,-4587629312.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,174.462.199.838,-,174.462.199.838,174462199838.0,,174462199838.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(16.052.083.010),-,(16.052.083.010),-16052083010.0,,-16052083010.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.756.233.865,-,1.756.233.865,1756233865.0,,1756233865.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,937.631.439.709,667.660.285.205,1.605.291.724.914,937631439709.0,667660285205.0,1605291724914.0
Nguyên giá,Nguyên giá,Nguyên giá,2.328.795.917.892,573.173.352.481,2.901.969.270.373,2328795917892.0,573173352481.0,2901969270373.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,(1.391.164.478.183),94.486.932.724,(1.296.677.545.459),-1391164478183.0,94486932724.0,-1296677545459.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,2.170.298.294,3.697.854.856,5.868.153.150,2170298294.0,3697854856.0,5868153150.0
Nguyên giá,Nguyên giá,Nguyên giá,2.464.771.095,3.403.382.055,5.868.153.150,2464771095.0,3403382055.0,5868153150.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,(294.472.801),294.472.801,-,-294472801.0,294472801.0,
Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,Xây dựng cơ bản dở dang,44.275.267.976,-,44.275.267.976,44275267976.0,,44275267976.0
Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,Các khoản đầu tư dài hạn,1.688.700.000,-,1.688.700.000,1688700000.0,,1688700000.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(527.076.663),-,(527.076.663),-527076663.0,,-527076663.0
Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,Thuế phải nộp Ngân sách Nhà nước,(37.063.003.015),-,(37.063.003.015),-37063003015.0,,-37063003015.0
Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,Nợ phải trả ngắn hạn,(1.617.993.212.595),-,(1.617.993.212.595),-1617993212595.0,,-1617993212595.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(134.271.628.012),(134.271.628.012),,-134271628012.0,-134271628012.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,(1.851.507.401),-,(1.851.507.401),-1851507401.0,,-1851507401.0
Cổ phiếu mới phát hành được mua bởi Công ty,Cổ phiếu mới phát hành được mua bởi Công ty,Cổ phiếu mới phát hành được mua bởi Công ty,1.326.000.000.000,-,1.326.000.000.000,1326000000000.0,,1326000000000.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,928.779.111.756,537.086.512.049,1.465.865.623.805,928779111756.0,537086512049.0,1465865623805.0
Tài sản thuần nhận được (65%),Tài sản thuần nhận được (65%),Tài sản thuần nhận được (65%),,,952.812.655.474,,,952812655474.0
Lợi thế thương mại (Thuyết minh V.14),Lợi thế thương mại (Thuyết minh V.14),Lợi thế thương mại (Thuyết minh V.14),,,375.568.405.799,,,375568405799.0
Khoản thanh toán cho việc mua,Khoản thanh toán cho việc mua,Khoản thanh toán cho việc mua,,,1.328.381.061.273,,,1328381061273.0
Khoản tiền thu được,Khoản tiền thu được,Khoản tiền thu được,,,8.587.383.115,,,8587383115.0
Chi phí giao dịch trực tiếp đã thanh toán,Chi phí giao dịch trực tiếp đã thanh toán,Chi phí giao dịch trực tiếp đã thanh toán,,,(2.381.061.273),,,-2381061273.0
Khoản tiền thuần thu được,Khoản tiền thuần thu được,Khoản tiền thuần thu được,,,6.206.321.842,,,6206321842.0
