row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Cơ sởhạ tầngVND,Nhà cửaVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Cơ sởhạ tầngVND,numeric__Nhà cửaVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,82.224.238.170,6.464.218.561,90.989.593.826,179.678.050.557,82224238170.0,6464218561.0,90989593826.0,179678050557.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,131.563.636,131.563.636,,,131563636.0,131563636.0
Chuyển từ xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,-,-,6.954.545.455,6.954.545.455,,,6954545455.0,6954545455.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(43.339.950.000),-,(83.371.480),(43.423.321.480),-43339950000.0,,-83371480.0,-43423321480.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,38.884.288.170,6.464.218.561,97.992.331.437,143.340.838.168,38884288170.0,6464218561.0,97992331437.0,143340838168.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.645.189.674,4.575.569.937,35.483.908.620,42.704.668.231,2645189674.0,4575569937.0,35483908620.0,42704668231.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,793.556.901,611.364.017,4.024.675.673,5.429.596.591,793556901.0,611364017.0,4024675673.0,5429596591.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(66.697.182),(66.697.182),,,-66697182.0,-66697182.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.438.746.575,5.186.933.954,39.441.887.111,48.067.567.640,3438746575.0,5186933954.0,39441887111.0,48067567640.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,79.579.048.496,1.888.648.624,55.505.685.206,136.973.382.326,79579048496.0,1888648624.0,55505685206.0,136973382326.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,35.445.541.595,1.277.284.607,58.550.444.326,95.273.270.528,35445541595.0,1277284607.0,58550444326.0,95273270528.0
