row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,12.006.621.930.000,-,(5.388.109.959),8.329.599.322,3.291.207.229.973,5.391.795.573.082,231.349.525.167,20.923.915.747.585,12006621930000.0,,-5388109959.0,8329599322.0,3291207229973.0,5391795573082.0,231349525167.0,20923915747585.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,2.507.912.360.000,260.699.620.761,5.388.109.959,-,(2.419.035.050.000),-,-,354.965.040.720,2507912360000.0,260699620761.0,5388109959.0,,-2419035050000.0,,,354965040720.0
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.176.335.920),-,-,-,-,(1.176.335.920),,,-1176335920.0,,,,,-1176335920.0
Mua lợi ích cổ đông không kiểm soát,Mua lợi ích cổ đông không kiểm soát,Mua lợi ích cổ đông không kiểm soát,-,-,-,-,-,(62.222.774.839),(5.922.583.589),(68.145.358.428),,,,,,-62222774839.0,-5922583589.0,-68145358428.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,9.350.329.130.383,13.500.647.107,9.363.829.777.490,,,,,,9350329130383.0,13500647107.0,9363829777490.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,924.847.745.615,(924.847.745.615),-,-,,,,,924847745615.0,-924847745615.0,,
Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,Trích quỹ khen thưởng và phúc lợi,-,-,-,-,-,(924.744.180.232),-,(924.744.180.232),,,,,,-924744180232.0,,-924744180232.0
Cổ tức (Thuyết minh V.24),Cổ tức (Thuyết minh V.24),Cổ tức (Thuyết minh V.24),-,-,-,-,-,(7.238.478.492.000),(4.003.285.748),(7.242.481.777.748),,,,,,-7238478492000.0,-4003285748.0,-7242481777748.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(2.674.905.869),-,-,2.461.280.987,(213.624.882),,,,-2674905869.0,,,2461280987.0,-213624882.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,14.514.534.290.000,260.699.620.761,(1.176.335.920),5.654.693.453,1.797.019.925.588,5.591.831.510.779,237.385.583.924,22.405.949.288.585,14514534290000.0,260699620761.0,-1176335920.0,5654693453.0,1797019925588.0,5591831510779.0,237385583924.0,22405949288585.0
