row_label_raw,row_label_full,Tên,Trụ sở,Hoạt động chính,Tỷ lệ góp vốn/ quyền biểu quyết,numeric__Trụ sở,numeric__Hoạt động chính,numeric__Tỷ lệ góp vốn/ quyền biểu quyết
Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Công ty TNHH Một Thành viên Bò Sữa Việt Nam,Công ty TNHH Một Thành viên Bò Sữa Việt Nam,"10 Tân Trào, Phường Tân Phú, Quận 7, Thành phố Hồ Chí Minh",Chăn nuôi bò sữa,"100,00%",,,1.0
Công ty TNHH Bò Sữa Thống Nhất Thanh Hóa (*),Công ty TNHH Bò Sữa Thống Nhất Thanh Hóa (*),Công ty TNHH Bò Sữa Thống Nhất Thanh Hóa (*),"Khu phố 1, Thị trấn Thống nhất, Huyện Yên Định, Tỉnh Thanh Hóa",Sản xuất sữa và chăn nuôi gia súc,"100,00%",,,1.0
Driftwood Dairy Holdings Corporation,Driftwood Dairy Holdings Corporation,Driftwood Dairy Holdings Corporation,"Số 10724, đường Lower Azusa và El Monte Boulevards Intersection, California 91731-1390, Mỹ",Sản xuất sữa,"100,00%",,,1.0
"Angkor Dairy Products Co., Ltd. (**)","Angkor Dairy Products Co., Ltd. (**)","Angkor Dairy Products Co., Ltd. (**)","Lô P2-096 và P2-097, Đặc khu kinh tế Phnom Penh (PPSEZ), Quốc lộ 4, Khan posenchey, Phnom Penh, Vương Quốc Campuchia",Sản xuất sữa,"100,00%",,,1.0
Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,Vinamilk Europe Spóstka Z Ograniczona Odpowiedzialnoscia,"Ul. Gwiazdzista 7a/401-651 Warszawa, Ba Lan",Kinh doanh nguyên liệu sữa và động vật sống,"100,00%",,,1.0
Công ty Cổ phần Đường Việt Nam (***),Công ty Cổ phần Đường Việt Nam (***),Công ty Cổ phần Đường Việt Nam (***),"Thôn Thủy Xương, Xã Suối Hiệp, Huyện Diễn Khánh, Tỉnh Khánh Hòa",Sản xuất và tính luyện đường,"65,00%",,,0.65
